# CMC next-node timing test
# access mode: pointer load only; software prefetch path removed
# timer: cntvct_el0, cntfrq_el0=13000000 Hz
# rounds=40000 threshold_ns=150 training_replays=128
# chain_nodes=128 control_nodes=16 mapping_pages=512
# trigger: node=0 page=29 line=35
# dummy: page=392 line=52; one same-PC chain_step is issued before each target probe
# each depth executes pointer loads node0..node(depth-1), then a same-PC dummy load, then probes node(depth).

[depth_next]
# depth	page	line	role		probes	hits	per_1000	avg_latency_ns
  1	505	36	next_after_depth	   315	    0	   0		  191
  2	 97	33	next_after_depth	   315	    0	   0		  185
  3	468	26	next_after_depth	   315	    0	   0		  180
  4	472	17	next_after_depth	   315	    0	   0		  187
  5	424	39	next_after_depth	   315	    0	   0		  186
  6	 81	57	next_after_depth	   315	    0	   0		  179
  7	418	19	next_after_depth	   315	    0	   0		  184
  8	 14	21	next_after_depth	   315	    0	   0		  187
  9	234	22	next_after_depth	   315	    0	   0		  187
 10	 95	34	next_after_depth	   315	    0	   0		  195
 11	215	15	next_after_depth	   315	    0	   0		  180
 12	315	27	next_after_depth	   315	    0	   0		  183
 13	 34	32	next_after_depth	   315	    0	   0		  186
 14	347	 1	next_after_depth	   315	    0	   0		  183
 15	483	52	next_after_depth	   315	    0	   0		  188
 16	268	49	next_after_depth	   315	    0	   0		  183
 17	334	59	next_after_depth	   315	    0	   0		  184
 18	414	 0	next_after_depth	   315	    0	   0		  184
 19	207	 9	next_after_depth	   315	    0	   0		  178
 20	254	57	next_after_depth	   315	    0	   0		  179
 21	456	44	next_after_depth	   315	    0	   0		  179
 22	493	32	next_after_depth	   315	    0	   0		  187
 23	504	 4	next_after_depth	   315	    0	   0		  189
 24	442	16	next_after_depth	   315	    0	   0		  186
 25	 33	 7	next_after_depth	   315	    0	   0		  185
 26	141	53	next_after_depth	   315	    0	   0		  186
 27	386	62	next_after_depth	   315	    0	   0		  180
 28	257	60	next_after_depth	   315	    0	   0		  179
 29	455	46	next_after_depth	   315	    0	   0		  180
 30	166	27	next_after_depth	   315	    0	   0		  184
 31	444	60	next_after_depth	   315	    0	   0		  178
 32	396	29	next_after_depth	   315	    0	   0		  177
 33	142	56	next_after_depth	   315	    0	   0		  180
 34	282	52	next_after_depth	   315	    0	   0		  191
 35	476	48	next_after_depth	   315	    0	   0		  185
 36	162	44	next_after_depth	   315	    0	   0		  180
 37	199	51	next_after_depth	   315	    0	   0		  178
 38	329	40	next_after_depth	   315	    0	   0		  178
 39	 38	14	next_after_depth	   315	    0	   0		  178
 40	390	25	next_after_depth	   315	    0	   0		  183
 41	510	 2	next_after_depth	   315	    0	   0		  189
 42	364	19	next_after_depth	   315	    0	   0		  183
 43	 21	57	next_after_depth	   315	    0	   0		  181
 44	447	51	next_after_depth	   315	    0	   0		  182
 45	509	38	next_after_depth	   315	    0	   0		  184
 46	 89	38	next_after_depth	   315	    0	   0		  186
 47	302	31	next_after_depth	   315	    0	   0		  180
 48	508	47	next_after_depth	   315	    0	   0		  180
 49	 90	21	next_after_depth	   315	    0	   0		  187
 50	179	45	next_after_depth	   315	    0	   0		  181
 51	296	 3	next_after_depth	   315	    0	   0		  182
 52	358	 4	next_after_depth	   315	    0	   0		  191
 53	 12	 5	next_after_depth	   315	    0	   0		  187
 54	  4	41	next_after_depth	   315	    0	   0		  182
 55	212	37	next_after_depth	   315	    0	   0		  189
 56	107	27	next_after_depth	   315	    0	   0		  180
 57	 26	26	next_after_depth	   315	    0	   0		  179
 58	308	51	next_after_depth	   315	    0	   0		  187
 59	411	14	next_after_depth	   315	    0	   0		  179
 60	198	40	next_after_depth	   315	    0	   0		  177
 61	108	48	next_after_depth	   315	    0	   0		  185
 62	154	36	next_after_depth	   315	    0	   0		  188
 63	247	12	next_after_depth	   315	    0	   0		  181
 64	136	43	next_after_depth	   315	    0	   0		  185
 65	 94	58	next_after_depth	   315	    0	   0		  183
