# SMS same-PC same-memory test
# access mode: load (ldrb)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  582	 931
 1	expected_prefetch	  593	 948
 2	.                	  397	 635
 3	expected_prefetch	  568	 908
 4	trigger          	  625	1000
 5	.                	  566	 905
 6	expected_prefetch	  603	 964
 7	expected_prefetch	  602	 963
 8	.                	  591	 945
 9	.                	  591	 945
10	.                	  455	 728
11	expected_prefetch	  589	 942
12	.                	  565	 904
13	.                	  424	 678
14	.                	  545	 872
15	expected_prefetch	  578	 924
16	.                	  360	 576
17	.                	   10	  16
18	.                	  484	 774
19	.                	    6	   9
20	.                	   77	 123
21	.                	    6	   9
22	.                	    8	  12
23	.                	    8	  12
24	.                	    9	  14
25	.                	    9	  14
26	.                	    7	  11
27	.                	    6	   9
28	.                	   12	  19
29	.                	    9	  14
30	.                	    8	  12
31	.                	    9	  14
32	.                	   12	  19
33	.                	    2	   3
34	.                	   13	  20
35	.                	   24	  38
36	.                	   39	  62
37	.                	    1	   1
38	.                	   19	  30
39	.                	   18	  28
40	.                	    1	   1
41	.                	    5	   8
42	.                	    3	   4
43	.                	   12	  19
44	.                	    3	   4
45	.                	   14	  22
46	.                	   19	  30
47	.                	   23	  36
48	.                	    4	   6
49	.                	    2	   3
50	.                	    3	   4
51	.                	    3	   4
52	.                	   44	  70
53	.                	    0	   0
54	.                	    0	   0
55	.                	    7	  11
56	.                	    1	   1
57	.                	    1	   1
58	.                	    3	   4
59	.                	    3	   4
60	.                	    2	   3
61	.                	    2	   3
62	.                	    4	   6
63	.                	    3	   4

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  577	 923
 1	expected_prefetch	  577	 923
 2	.                	  121	 193
 3	expected_prefetch	  474	 758
 4	trigger          	  625	1000
 5	.                	  342	 547
 6	expected_prefetch	  466	 745
 7	expected_prefetch	  468	 748
 8	.                	  463	 740
 9	.                	  422	 675
10	.                	  144	 230
11	expected_prefetch	  415	 664
12	.                	  430	 688
13	.                	  126	 201
14	.                	   89	 142
15	expected_prefetch	  398	 636
16	.                	  136	 217
17	.                	    6	   9
18	.                	   81	 129
19	.                	    5	   8
20	.                	   14	  22
21	.                	    4	   6
22	.                	    3	   4
23	.                	    5	   8
24	.                	    4	   6
25	.                	    3	   4
26	.                	    4	   6
27	.                	    6	   9
28	.                	    5	   8
29	.                	    2	   3
30	.                	    3	   4
31	.                	    3	   4
32	.                	    6	   9
33	.                	    2	   3
34	.                	    9	  14
35	.                	    8	  12
36	.                	    5	   8
37	.                	    2	   3
38	.                	   13	  20
39	.                	   10	  16
40	.                	    0	   0
41	.                	    8	  12
42	.                	   10	  16
43	.                	    4	   6
44	.                	    2	   3
45	.                	   11	  17
46	.                	   19	  30
47	.                	    8	  12
48	.                	    1	   1
49	.                	    1	   1
50	.                	    0	   0
51	.                	    1	   1
52	.                	    0	   0
53	.                	    3	   4
54	.                	    0	   0
55	.                	    2	   3
56	.                	    3	   4
57	.                	    0	   0
58	.                	    1	   1
59	.                	    4	   6
60	.                	    2	   3
61	.                	    0	   0
62	.                	    2	   3
63	.                	    0	   0
