# SMS same-PC same-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	   23	  36
 1	expected_prefetch	  181	 289
 2	.                	   28	  44
 3	expected_prefetch	   30	  48
 4	trigger          	  625	1000
 5	.                	   64	 102
 6	expected_prefetch	   31	  49
 7	expected_prefetch	   75	 120
 8	.                	   10	  16
 9	.                	    1	   1
10	.                	    2	   3
11	expected_prefetch	    0	   0
12	.                	    2	   3
13	.                	    1	   1
14	.                	    3	   4
15	expected_prefetch	    2	   3
16	.                	    0	   0
17	.                	    0	   0
18	.                	    3	   4
19	.                	    3	   4
20	.                	    0	   0
21	.                	    0	   0
22	.                	    2	   3
23	.                	    2	   3
24	.                	    0	   0
25	.                	    0	   0
26	.                	    1	   1
27	.                	    3	   4
28	.                	    2	   3
29	.                	    1	   1
30	.                	    1	   1
31	.                	    1	   1
32	.                	    1	   1
33	.                	    6	   9
34	.                	    2	   3
35	.                	    4	   6
36	.                	    6	   9
37	.                	    2	   3
38	.                	    2	   3
39	.                	    2	   3
40	.                	    1	   1
41	.                	    1	   1
42	.                	    3	   4
43	.                	    2	   3
44	.                	    3	   4
45	.                	    1	   1
46	.                	    0	   0
47	.                	    0	   0
48	.                	    2	   3
49	.                	    1	   1
50	.                	    1	   1
51	.                	    1	   1
52	.                	    2	   3
53	.                	    1	   1
54	.                	    0	   0
55	.                	    0	   0
56	.                	    0	   0
57	.                	    1	   1
58	.                	    0	   0
59	.                	    0	   0
60	.                	    1	   1
61	.                	    1	   1
62	.                	    0	   0
63	.                	    2	   3

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    0	   0
 1	expected_prefetch	   16	  25
 2	.                	    3	   4
 3	expected_prefetch	    1	   1
 4	trigger          	  625	1000
 5	.                	   15	  24
 6	expected_prefetch	   11	  17
 7	expected_prefetch	    4	   6
 8	.                	    0	   0
 9	.                	    2	   3
10	.                	    1	   1
11	expected_prefetch	    3	   4
12	.                	    1	   1
13	.                	    2	   3
14	.                	    1	   1
15	expected_prefetch	    0	   0
16	.                	    1	   1
17	.                	    0	   0
18	.                	    2	   3
19	.                	    1	   1
20	.                	    1	   1
21	.                	    0	   0
22	.                	    1	   1
23	.                	    1	   1
24	.                	    0	   0
25	.                	    2	   3
26	.                	    1	   1
27	.                	    0	   0
28	.                	    0	   0
29	.                	    1	   1
30	.                	    0	   0
31	.                	    0	   0
32	.                	    0	   0
33	.                	    4	   6
34	.                	    1	   1
35	.                	    4	   6
36	.                	    0	   0
37	.                	    3	   4
38	.                	    0	   0
39	.                	    0	   0
40	.                	    0	   0
41	.                	    2	   3
42	.                	    0	   0
43	.                	    0	   0
44	.                	    3	   4
45	.                	    1	   1
46	.                	    1	   1
47	.                	    1	   1
48	.                	    1	   1
49	.                	    1	   1
50	.                	    0	   0
51	.                	    0	   0
52	.                	    0	   0
53	.                	    1	   1
54	.                	    0	   0
55	.                	    0	   0
56	.                	    1	   1
57	.                	    1	   1
58	.                	    0	   0
59	.                	    4	   6
60	.                	    0	   0
61	.                	    1	   1
62	.                	    0	   0
63	.                	    0	   0
