# SMS same-PC same-memory test
# access mode: load (ldrb)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  569	 910
 1	expected_prefetch	  537	 859
 2	.                	  558	 892
 3	expected_prefetch	  625	1000
 4	trigger          	  625	1000
 5	.                	  547	 875
 6	expected_prefetch	  539	 862
 7	expected_prefetch	  522	 835
 8	.                	  576	 921
 9	.                	  562	 899
10	.                	  528	 844
11	expected_prefetch	  564	 902
12	.                	  584	 934
13	.                	  575	 920
14	.                	  529	 846
15	expected_prefetch	  558	 892
16	.                	  603	 964
17	.                	  595	 952
18	.                	  538	 860
19	.                	  596	 953
20	.                	  578	 924
21	.                	  580	 928
22	.                	  541	 865
23	.                	  603	 964
24	.                	  578	 924
25	.                	  583	 932
26	.                	  583	 932
27	.                	  540	 864
28	.                	  586	 937
29	.                	  590	 944
30	.                	  594	 950
31	.                	  543	 868
32	.                	  561	 897
33	.                	  524	 838
34	.                	  553	 884
35	.                	  566	 905
36	.                	  564	 902
37	.                	  523	 836
38	.                	  564	 902
39	.                	  574	 918
40	.                	  518	 828
41	.                	  579	 926
42	.                	  555	 888
43	.                	  562	 899
44	.                	  516	 825
45	.                	  548	 876
46	.                	  548	 876
47	.                	  554	 886
48	.                	  568	 908
49	.                	  585	 936
50	.                	  573	 916
51	.                	  579	 926
52	.                	  555	 888
53	.                	  584	 934
54	.                	  591	 945
55	.                	  596	 953
56	.                	  589	 942
57	.                	  551	 881
58	.                	  574	 918
59	.                	  598	 956
60	.                	  586	 937
61	.                	  555	 888
62	.                	  588	 940
63	.                	  588	 940

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  555	 888
 1	expected_prefetch	  559	 894
 2	.                	  545	 872
 3	expected_prefetch	  625	1000
 4	trigger          	  624	 998
 5	.                	  566	 905
 6	expected_prefetch	  571	 913
 7	expected_prefetch	  540	 864
 8	.                	  573	 916
 9	.                	  579	 926
10	.                	  557	 891
11	expected_prefetch	  577	 923
12	.                	  562	 899
13	.                	  573	 916
14	.                	  550	 880
15	expected_prefetch	  562	 899
16	.                	  598	 956
17	.                	  603	 964
18	.                	  556	 889
19	.                	  600	 960
20	.                	  590	 944
21	.                	  589	 942
22	.                	  573	 916
23	.                	  603	 964
24	.                	  599	 958
25	.                	  606	 969
26	.                	  596	 953
27	.                	  541	 865
28	.                	  598	 956
29	.                	  603	 964
30	.                	  593	 948
31	.                	  572	 915
32	.                	  572	 915
33	.                	  534	 854
34	.                	  565	 904
35	.                	  556	 889
36	.                	  574	 918
37	.                	  544	 870
38	.                	  577	 923
39	.                	  580	 928
40	.                	  544	 870
41	.                	  571	 913
42	.                	  563	 900
43	.                	  555	 888
44	.                	  520	 832
45	.                	  542	 867
46	.                	  550	 880
47	.                	  564	 902
48	.                	  577	 923
49	.                	  596	 953
50	.                	  584	 934
51	.                	  588	 940
52	.                	  556	 889
53	.                	  590	 944
54	.                	  589	 942
55	.                	  595	 952
56	.                	  595	 952
57	.                	  563	 900
58	.                	  593	 948
59	.                	  597	 955
60	.                	  603	 964
61	.                	  559	 894
62	.                	  592	 947
63	.                	  586	 937
