# SMS same-PC same-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  555	 888
 1	expected_prefetch	  520	 832
 2	.                	  491	 785
 3	expected_prefetch	  525	 840
 4	trigger          	  625	1000
 5	.                	  514	 822
 6	expected_prefetch	  512	 819
 7	expected_prefetch	  535	 856
 8	.                	  542	 867
 9	.                	  540	 864
10	.                	  528	 844
11	expected_prefetch	  478	 764
12	.                	  547	 875
13	.                	  551	 881
14	.                	  535	 856
15	expected_prefetch	  477	 763
16	.                	  565	 904
17	.                	  587	 939
18	.                	  583	 932
19	.                	  498	 796
20	.                	  567	 907
21	.                	  562	 899
22	.                	  580	 928
23	.                	  490	 784
24	.                	  567	 907
25	.                	  576	 921
26	.                	  505	 808
27	.                	  584	 934
28	.                	  571	 913
29	.                	  571	 913
30	.                	  499	 798
31	.                	  575	 920
32	.                	  475	 760
33	.                	  547	 875
34	.                	  550	 880
35	.                	  535	 856
36	.                	  445	 712
37	.                	  546	 873
38	.                	  535	 856
39	.                	  529	 846
40	.                	  534	 854
41	.                	  445	 712
42	.                	  518	 828
43	.                	  543	 868
44	.                	  536	 857
45	.                	  458	 732
46	.                	  537	 859
47	.                	  518	 828
48	.                	  574	 918
49	.                	  492	 787
50	.                	  575	 920
51	.                	  569	 910
52	.                	  570	 912
53	.                	  497	 795
54	.                	  557	 891
55	.                	  580	 928
56	.                	  489	 782
57	.                	  558	 892
58	.                	  574	 918
59	.                	  564	 902
60	.                	  483	 772
61	.                	  565	 904
62	.                	  564	 902
63	.                	  573	 916

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  531	 849
 1	expected_prefetch	  516	 825
 2	.                	  495	 792
 3	expected_prefetch	  512	 819
 4	trigger          	  625	1000
 5	.                	  508	 812
 6	expected_prefetch	  510	 816
 7	expected_prefetch	  513	 820
 8	.                	  545	 872
 9	.                	  535	 856
10	.                	  523	 836
11	expected_prefetch	  441	 705
12	.                	  541	 865
13	.                	  553	 884
14	.                	  540	 864
15	expected_prefetch	  458	 732
16	.                	  562	 899
17	.                	  577	 923
18	.                	  572	 915
19	.                	  488	 780
20	.                	  569	 910
21	.                	  563	 900
22	.                	  572	 915
23	.                	  479	 766
24	.                	  574	 918
25	.                	  571	 913
26	.                	  508	 812
27	.                	  570	 912
28	.                	  544	 870
29	.                	  574	 918
30	.                	  507	 811
31	.                	  569	 910
32	.                	  485	 776
33	.                	  536	 857
34	.                	  561	 897
35	.                	  542	 867
36	.                	  483	 772
37	.                	  552	 883
38	.                	  545	 872
39	.                	  520	 832
40	.                	  550	 880
41	.                	  471	 753
42	.                	  531	 849
43	.                	  532	 851
44	.                	  534	 854
45	.                	  491	 785
46	.                	  507	 811
47	.                	  491	 785
48	.                	  564	 902
49	.                	  526	 841
50	.                	  574	 918
51	.                	  572	 915
52	.                	  565	 904
53	.                	  508	 812
54	.                	  559	 894
55	.                	  578	 924
56	.                	  486	 777
57	.                	  559	 894
58	.                	  555	 888
59	.                	  571	 913
60	.                	  509	 814
61	.                	  561	 897
62	.                	  570	 912
63	.                	  574	 918
