# SMS same-PC different-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines in training_region: 4, 1, 6, 7, 3, 11, 15
# trigger line in test_region: 4
# expected prefetch lines in test_region: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    1	   1
 1	expected_prefetch	    0	   0
 2	.                	    3	   4
 3	expected_prefetch	    0	   0
 4	trigger          	  560	 896
 5	.                	    0	   0
 6	expected_prefetch	    3	   4
 7	expected_prefetch	    1	   1
 8	.                	    0	   0
 9	.                	    0	   0
10	.                	    3	   4
11	expected_prefetch	    0	   0
12	.                	    0	   0
13	.                	    0	   0
14	.                	    0	   0
15	expected_prefetch	    0	   0
16	.                	    0	   0
17	.                	    0	   0
18	.                	    0	   0
19	.                	    0	   0
20	.                	    0	   0
21	.                	    0	   0
22	.                	    0	   0
23	.                	    0	   0
24	.                	    0	   0
25	.                	    0	   0
26	.                	    0	   0
27	.                	    1	   1
28	.                	    2	   3
29	.                	    1	   1
30	.                	    1	   1
31	.                	    0	   0
32	.                	    1	   1
33	.                	    0	   0
34	.                	    2	   3
35	.                	    1	   1
36	.                	    1	   1
37	.                	    0	   0
38	.                	    1	   1
39	.                	    0	   0
40	.                	    0	   0
41	.                	    1	   1
42	.                	    1	   1
43	.                	    1	   1
44	.                	    1	   1
45	.                	    0	   0
46	.                	    0	   0
47	.                	    0	   0
48	.                	    1	   1
49	.                	    0	   0
50	.                	    0	   0
51	.                	    0	   0
52	.                	    0	   0
53	.                	    0	   0
54	.                	    0	   0
55	.                	    0	   0
56	.                	    0	   0
57	.                	    0	   0
58	.                	    0	   0
59	.                	    0	   0
60	.                	    0	   0
61	.                	    0	   0
62	.                	    1	   1
63	.                	    0	   0

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	  388	 620
 1	expected_prefetch	  351	 561
 2	.                	    0	   0
 3	expected_prefetch	    3	   4
 4	trigger          	  510	 816
 5	.                	    1	   1
 6	expected_prefetch	  529	 846
 7	expected_prefetch	    2	   3
 8	.                	    0	   0
 9	.                	    9	  14
10	.                	    7	  11
11	expected_prefetch	    1	   1
12	.                	    1	   1
13	.                	    1	   1
14	.                	    2	   3
15	expected_prefetch	    6	   9
16	.                	    1	   1
17	.                	    1	   1
18	.                	    0	   0
19	.                	    0	   0
20	.                	    0	   0
21	.                	    0	   0
22	.                	    1	   1
23	.                	    0	   0
24	.                	    0	   0
25	.                	    2	   3
26	.                	    2	   3
27	.                	    0	   0
28	.                	    1	   1
29	.                	    0	   0
30	.                	    0	   0
31	.                	    1	   1
32	.                	    1	   1
33	.                	    0	   0
34	.                	    0	   0
35	.                	    2	   3
36	.                	    0	   0
37	.                	    0	   0
38	.                	    1	   1
39	.                	    0	   0
40	.                	    0	   0
41	.                	    1	   1
42	.                	    1	   1
43	.                	    1	   1
44	.                	    0	   0
45	.                	    0	   0
46	.                	    0	   0
47	.                	    1	   1
48	.                	    1	   1
49	.                	    0	   0
50	.                	    0	   0
51	.                	    0	   0
52	.                	    1	   1
53	.                	    2	   3
54	.                	    2	   3
55	.                	    0	   0
56	.                	    1	   1
57	.                	    2	   3
58	.                	    3	   4
59	.                	    0	   0
60	.                	    0	   0
61	.                	    1	   1
62	.                	    0	   0
63	.                	    0	   0
