train_step	access	l1d_cache_hwprf	l2d_cache_hwprf	status
0	load	0.00	0.25	0
1	load	0.00	0.22	0
2	load	0.00	0.26	0
3	load	0.00	0.23	0
4	load	0.00	0.23	0
5	load	0.00	0.23	0
6	load	0.00	0.26	0
7	load	0.00	0.23	0
8	load	0.00	0.23	0
9	load	0.00	0.23	0
11	load	0.00	0.27	0
12	load	0.00	0.25	0
13	load	0.00	0.27	0
14	load	0.00	0.22	0
15	load	0.00	0.26	0
16	load	0.00	0.23	0
17	load	0.00	0.27	0
18	load	0.00	0.23	0
19	load	0.01	0.28	0
20	load	1.00	1.27	0
21	load	2.00	2.27	0
22	load	3.00	3.23	0
23	load	4.00	4.23	0
24	load	4.99	5.26	0
25	load	5.99	6.22	0
26	load	6.99	7.27	0
27	load	7.99	8.13	0
28	load	8.99	9.26	0
29	load	9.99	10.26	0
30	load	10.99	11.26	0
0	store	0.00	0.25	0
1	store	0.00	0.29	0
2	store	0.00	0.40	0
3	store	0.00	1.86	0
4	store	0.00	2.57	0
5	store	0.00	9.06	0
6	store	0.00	8.57	0
7	store	0.00	8.56	0
8	store	0.00	8.75	0
9	store	0.00	8.89	0
11	store	0.00	8.93	0
12	store	0.00	8.92	0
13	store	0.00	8.93	0
14	store	0.00	10.41	0
15	store	0.00	8.48	0
16	store	0.00	18.42	0
17	store	0.00	19.06	0
18	store	0.00	18.90	0
19	store	0.00	18.61	0
20	store	0.00	18.84	0
21	store	0.00	18.88	0
10	load	0.00	0.25	0
22	store	0.00	22.29	0
23	store	0.00	20.26	0
24	store	0.00	20.24	0
25	store	0.00	20.17	0
26	store	0.00	20.25	0
27	store	0.00	20.20	0
28	store	0.00	19.73	0
29	store	0.00	20.50	0
30	store	0.00	30.36	0
10	store	0.00	8.92	0
