arch=A55, core=1, stride=5, train_accesses=5, max_competitors=20, rounds=100, page_step=1, probe_lines=64, threshold=120 ns
config default train_accesses=5
# store-stride entry-capacity test
# stride=320 rounds=100 page_size=4096 store_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=5 COMPETITOR_ACCESSES=6 PROBE_LINES=64 max_competitors=20 page_step_pages=1
# victim training: 5 stores, stride_lines=5
# victim trigger line: 31
# victim probe/predicted line: 25
# competitor accesses per page: 6 stores, stride_lines=5
# lower latency means that victim line was more likely prefetched
# FENCE_AFTER_EACH_STORE=0
# FLUSH_COMPETITORS_AFTER_TRAIN=0
# no_trigger_n0_latency_ns=159
n	probe_line	offset_bytes	role	avg_ns	probes
0	0	0	trained	75	100
0	1	64	candidate	201	100
0	2	128	candidate	207	100
0	3	192	candidate	214	100
0	4	256	candidate	210	100
0	5	320	trained	74	100
0	6	384	candidate	216	100
0	7	448	candidate	215	100
0	8	512	candidate	205	100
0	9	576	candidate	206	100
0	10	640	trained	72	100
0	11	704	candidate	205	100
0	12	768	candidate	206	100
0	13	832	candidate	202	100
0	14	896	candidate	198	100
0	15	960	trained	73	100
0	16	1024	candidate	208	100
0	17	1088	candidate	208	100
0	18	1152	candidate	214	100
0	19	1216	candidate	207	100
0	20	1280	trained	72	100
0	21	1344	candidate	211	100
0	22	1408	candidate	200	100
0	23	1472	candidate	207	100
0	24	1536	candidate	193	100
0	25	1600	predicted	112	100
0	26	1664	candidate	200	100
0	27	1728	candidate	191	100
0	28	1792	candidate	202	100
0	29	1856	candidate	202	100
0	30	1920	candidate	110	100
0	31	1984	trigger	73	100
0	32	2048	candidate	203	100
0	33	2112	candidate	215	100
0	34	2176	candidate	211	100
0	35	2240	candidate	110	100
0	36	2304	candidate	212	100
0	37	2368	candidate	212	100
0	38	2432	candidate	210	100
0	39	2496	candidate	212	100
0	40	2560	candidate	104	100
0	41	2624	candidate	197	100
0	42	2688	candidate	206	100
0	43	2752	candidate	201	100
0	44	2816	candidate	199	100
0	45	2880	candidate	116	100
0	46	2944	candidate	200	100
0	47	3008	candidate	205	100
0	48	3072	candidate	207	100
0	49	3136	candidate	213	100
0	50	3200	candidate	116	100
0	51	3264	candidate	206	100
0	52	3328	candidate	215	100
0	53	3392	candidate	211	100
0	54	3456	candidate	213	100
0	55	3520	candidate	107	100
0	56	3584	candidate	198	100
0	57	3648	candidate	196	100
0	58	3712	candidate	195	100
0	59	3776	candidate	199	100
0	60	3840	candidate	130	100
0	61	3904	candidate	198	100
0	62	3968	candidate	207	100
0	63	4032	candidate	197	100
1	0	0	trained	75	100
1	1	64	candidate	199	100
1	2	128	candidate	198	100
1	3	192	candidate	206	100
1	4	256	candidate	215	100
1	5	320	trained	73	100
1	6	384	candidate	214	100
1	7	448	candidate	218	100
1	8	512	candidate	199	100
1	9	576	candidate	204	100
1	10	640	trained	75	100
1	11	704	candidate	203	100
1	12	768	candidate	200	100
1	13	832	candidate	206	100
1	14	896	candidate	200	100
1	15	960	trained	75	100
1	16	1024	candidate	209	100
1	17	1088	candidate	201	100
1	18	1152	candidate	210	100
1	19	1216	candidate	202	100
1	20	1280	trained	73	100
1	21	1344	candidate	197	100
1	22	1408	candidate	206	100
1	23	1472	candidate	205	100
1	24	1536	candidate	193	100
1	25	1600	predicted	106	100
1	26	1664	candidate	192	100
1	27	1728	candidate	203	100
1	28	1792	candidate	200	100
1	29	1856	candidate	198	100
1	30	1920	candidate	104	100
1	31	1984	trigger	74	100
1	32	2048	candidate	190	100
1	33	2112	candidate	204	100
1	34	2176	candidate	202	100
1	35	2240	candidate	105	100
1	36	2304	candidate	204	100
1	37	2368	candidate	201	100
1	38	2432	candidate	209	100
1	39	2496	candidate	201	100
1	40	2560	candidate	96	100
1	41	2624	candidate	197	100
1	42	2688	candidate	206	100
1	43	2752	candidate	198	100
1	44	2816	candidate	208	100
1	45	2880	candidate	116	100
1	46	2944	candidate	197	100
1	47	3008	candidate	196	100
1	48	3072	candidate	195	100
1	49	3136	candidate	205	100
1	50	3200	candidate	110	100
1	51	3264	candidate	199	100
1	52	3328	candidate	203	100
1	53	3392	candidate	196	100
1	54	3456	candidate	205	100
1	55	3520	candidate	101	100
1	56	3584	candidate	198	100
1	57	3648	candidate	202	100
1	58	3712	candidate	210	100
1	59	3776	candidate	201	100
1	60	3840	candidate	163	100
1	61	3904	candidate	203	100
1	62	3968	candidate	200	100
1	63	4032	candidate	201	100
2	0	0	trained	73	100
2	1	64	candidate	201	100
2	2	128	candidate	200	100
2	3	192	candidate	200	100
2	4	256	candidate	196	100
2	5	320	trained	76	100
2	6	384	candidate	203	100
2	7	448	candidate	209	100
2	8	512	candidate	197	100
2	9	576	candidate	203	100
2	10	640	trained	74	100
2	11	704	candidate	196	100
2	12	768	candidate	193	100
2	13	832	candidate	194	100
2	14	896	candidate	193	100
2	15	960	trained	75	100
2	16	1024	candidate	201	100
2	17	1088	candidate	206	100
2	18	1152	candidate	193	100
2	19	1216	candidate	197	100
2	20	1280	trained	75	100
2	21	1344	candidate	196	100
2	22	1408	candidate	204	100
2	23	1472	candidate	211	100
2	24	1536	candidate	203	100
2	25	1600	predicted	102	100
2	26	1664	candidate	196	100
2	27	1728	candidate	205	100
2	28	1792	candidate	200	100
2	29	1856	candidate	204	100
2	30	1920	candidate	93	100
2	31	1984	trigger	74	100
2	32	2048	candidate	196	100
2	33	2112	candidate	198	100
2	34	2176	candidate	202	100
2	35	2240	candidate	100	100
2	36	2304	candidate	201	100
2	37	2368	candidate	209	100
2	38	2432	candidate	198	100
2	39	2496	candidate	202	100
2	40	2560	candidate	96	100
2	41	2624	candidate	201	100
2	42	2688	candidate	199	100
2	43	2752	candidate	184	100
2	44	2816	candidate	203	100
2	45	2880	candidate	96	100
2	46	2944	candidate	196	100
2	47	3008	candidate	199	100
2	48	3072	candidate	190	100
2	49	3136	candidate	200	100
2	50	3200	candidate	106	100
2	51	3264	candidate	200	100
2	52	3328	candidate	203	100
2	53	3392	candidate	204	100
2	54	3456	candidate	209	100
2	55	3520	candidate	104	100
2	56	3584	candidate	201	100
2	57	3648	candidate	198	100
2	58	3712	candidate	205	100
2	59	3776	candidate	201	100
2	60	3840	candidate	141	100
2	61	3904	candidate	196	100
2	62	3968	candidate	203	100
2	63	4032	candidate	201	100
3	0	0	trained	76	100
3	1	64	candidate	206	100
3	2	128	candidate	202	100
3	3	192	candidate	203	100
3	4	256	candidate	208	100
3	5	320	trained	76	100
3	6	384	candidate	199	100
3	7	448	candidate	210	100
3	8	512	candidate	200	100
3	9	576	candidate	204	100
3	10	640	trained	73	100
3	11	704	candidate	196	100
3	12	768	candidate	194	100
3	13	832	candidate	197	100
3	14	896	candidate	203	100
3	15	960	trained	74	100
3	16	1024	candidate	207	100
3	17	1088	candidate	193	100
3	18	1152	candidate	198	100
3	19	1216	candidate	209	100
3	20	1280	trained	72	100
3	21	1344	candidate	208	100
3	22	1408	candidate	209	100
3	23	1472	candidate	206	100
3	24	1536	candidate	189	100
3	25	1600	predicted	108	100
3	26	1664	candidate	196	100
3	27	1728	candidate	191	100
3	28	1792	candidate	195	100
3	29	1856	candidate	201	100
3	30	1920	candidate	109	100
3	31	1984	trigger	71	100
3	32	2048	candidate	206	100
3	33	2112	candidate	205	100
3	34	2176	candidate	193	100
3	35	2240	candidate	109	100
3	36	2304	candidate	205	100
3	37	2368	candidate	217	100
3	38	2432	candidate	210	100
3	39	2496	candidate	215	100
3	40	2560	candidate	107	100
3	41	2624	candidate	199	100
3	42	2688	candidate	204	100
3	43	2752	candidate	205	100
3	44	2816	candidate	206	100
3	45	2880	candidate	110	100
3	46	2944	candidate	203	100
3	47	3008	candidate	206	100
3	48	3072	candidate	203	100
3	49	3136	candidate	208	100
3	50	3200	candidate	116	100
3	51	3264	candidate	209	100
3	52	3328	candidate	208	100
3	53	3392	candidate	205	100
3	54	3456	candidate	199	100
3	55	3520	candidate	99	100
3	56	3584	candidate	194	100
3	57	3648	candidate	196	100
3	58	3712	candidate	203	100
3	59	3776	candidate	197	100
3	60	3840	candidate	137	100
3	61	3904	candidate	194	100
3	62	3968	candidate	196	100
3	63	4032	candidate	205	100
4	0	0	trained	74	100
4	1	64	candidate	203	100
4	2	128	candidate	204	100
4	3	192	candidate	204	100
4	4	256	candidate	204	100
4	5	320	trained	76	100
4	6	384	candidate	203	100
4	7	448	candidate	206	100
4	8	512	candidate	201	100
4	9	576	candidate	195	100
4	10	640	trained	75	100
4	11	704	candidate	194	100
4	12	768	candidate	205	100
4	13	832	candidate	189	100
4	14	896	candidate	200	100
4	15	960	trained	76	100
4	16	1024	candidate	202	100
4	17	1088	candidate	202	100
4	18	1152	candidate	203	100
4	19	1216	candidate	200	100
4	20	1280	trained	74	100
4	21	1344	candidate	200	100
4	22	1408	candidate	203	100
4	23	1472	candidate	207	100
4	24	1536	candidate	191	100
4	25	1600	predicted	109	100
4	26	1664	candidate	195	100
4	27	1728	candidate	193	100
4	28	1792	candidate	198	100
4	29	1856	candidate	203	100
4	30	1920	candidate	108	100
4	31	1984	trigger	73	100
4	32	2048	candidate	197	100
4	33	2112	candidate	199	100
4	34	2176	candidate	203	100
4	35	2240	candidate	100	100
4	36	2304	candidate	206	100
4	37	2368	candidate	199	100
4	38	2432	candidate	216	100
4	39	2496	candidate	210	100
4	40	2560	candidate	112	100
4	41	2624	candidate	201	100
4	42	2688	candidate	199	100
4	43	2752	candidate	204	100
4	44	2816	candidate	199	100
4	45	2880	candidate	98	100
4	46	2944	candidate	192	100
4	47	3008	candidate	189	100
4	48	3072	candidate	203	100
4	49	3136	candidate	200	100
4	50	3200	candidate	106	100
4	51	3264	candidate	200	100
4	52	3328	candidate	200	100
4	53	3392	candidate	209	100
4	54	3456	candidate	209	100
4	55	3520	candidate	105	100
4	56	3584	candidate	208	100
4	57	3648	candidate	197	100
4	58	3712	candidate	200	100
4	59	3776	candidate	199	100
4	60	3840	candidate	136	100
4	61	3904	candidate	195	100
4	62	3968	candidate	196	100
4	63	4032	candidate	196	100
5	0	0	trained	73	100
5	1	64	candidate	199	100
5	2	128	candidate	202	100
5	3	192	candidate	203	100
5	4	256	candidate	202	100
5	5	320	trained	76	100
5	6	384	candidate	200	100
5	7	448	candidate	195	100
5	8	512	candidate	200	100
5	9	576	candidate	197	100
5	10	640	trained	74	100
5	11	704	candidate	196	100
5	12	768	candidate	199	100
5	13	832	candidate	200	100
5	14	896	candidate	205	100
5	15	960	trained	74	100
5	16	1024	candidate	197	100
5	17	1088	candidate	201	100
5	18	1152	candidate	206	100
5	19	1216	candidate	202	100
5	20	1280	trained	76	100
5	21	1344	candidate	203	100
5	22	1408	candidate	209	100
5	23	1472	candidate	204	100
5	24	1536	candidate	189	100
5	25	1600	predicted	109	100
5	26	1664	candidate	196	100
5	27	1728	candidate	189	100
5	28	1792	candidate	194	100
5	29	1856	candidate	203	100
5	30	1920	candidate	108	100
5	31	1984	trigger	73	100
5	32	2048	candidate	202	100
5	33	2112	candidate	205	100
5	34	2176	candidate	206	100
5	35	2240	candidate	116	100
5	36	2304	candidate	206	100
5	37	2368	candidate	204	100
5	38	2432	candidate	206	100
5	39	2496	candidate	203	100
5	40	2560	candidate	111	100
5	41	2624	candidate	196	100
5	42	2688	candidate	197	100
5	43	2752	candidate	203	100
5	44	2816	candidate	202	100
5	45	2880	candidate	102	100
