# arm64 cross-core store-stride retention test
# train_core=1 trigger_core=0
# train core accesses 3 stores, trigger core triggers access 3
# shared_page=0x00007fff64f90000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=trigger_core_context_switch_then_train_core
# position	offset_bytes	avg_ns	probes
  0	           0	        75	   63
  1	          64	       198	   63
  2	         128	       212	   63
  3	         192	       215	   63
  4	         256	       218	   63
  5	         320	        75	   63
  6	         384	       207	   63
  7	         448	       194	   63
  8	         512	       201	   63
  9	         576	       172	   63
 10	         640	        74	   63
 11	         704	       200	   63
 12	         768	       167	   63
 13	         832	       211	   63
 14	         896	       207	   63
 15	         960	        76	   63
 16	        1024	       203	   63
 17	        1088	       205	   63
 18	        1152	       208	   63
 19	        1216	       195	   63
 20	        1280	       195	   63
 21	        1344	       201	   63
 22	        1408	       221	   63
 23	        1472	       195	   63
 24	        1536	       192	   63
 25	        1600	       197	   63
 26	        1664	       195	   63
 27	        1728	       201	   63
 28	        1792	       178	   63
 29	        1856	       133	   63
 30	        1920	       150	   63
 31	        1984	       150	   63
 32	        2048	       179	   62
 33	        2112	       189	   62
 34	        2176	       196	   62
 35	        2240	       199	   62
 36	        2304	       208	   62
 37	        2368	       188	   62
 38	        2432	       201	   62
 39	        2496	       200	   62
 40	        2560	       202	   62
 41	        2624	       221	   62
 42	        2688	       197	   62
 43	        2752	       195	   62
 44	        2816	       210	   62
 45	        2880	       210	   62
 46	        2944	       235	   62
 47	        3008	       163	   62
 48	        3072	       164	   62
 49	        3136	       181	   62
 50	        3200	       169	   62
 51	        3264	       182	   62
 52	        3328	       192	   62
 53	        3392	       190	   62
 54	        3456	       192	   62
 55	        3520	       191	   62
 56	        3584	       211	   62
 57	        3648	       193	   62
 58	        3712	       206	   62
 59	        3776	       193	   62
 60	        3840	       200	   62
 61	        3904	       185	   62
 62	        3968	       207	   62
 63	        4032	       194	   62
