# arm64 cross-core store-stride retention test
# train_core=1 trigger_core=0
# train core accesses 3 stores, trigger core triggers access 3
# shared_page=0x00007fffaa388000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        69	   63
  1	          64	       214	   63
  2	         128	       203	   63
  3	         192	       212	   63
  4	         256	       205	   63
  5	         320	        69	   63
  6	         384	       197	   63
  7	         448	       210	   63
  8	         512	       220	   63
  9	         576	       210	   63
 10	         640	        70	   63
 11	         704	       198	   63
 12	         768	       181	   63
 13	         832	       218	   63
 14	         896	       205	   63
 15	         960	       196	   63
 16	        1024	       213	   63
 17	        1088	       187	   63
 18	        1152	       193	   63
 19	        1216	       213	   63
 20	        1280	       192	   63
 21	        1344	       202	   63
 22	        1408	       191	   63
 23	        1472	       215	   63
 24	        1536	       186	   63
 25	        1600	       204	   63
 26	        1664	       180	   63
 27	        1728	       190	   63
 28	        1792	       191	   63
 29	        1856	       202	   63
 30	        1920	       187	   63
 31	        1984	       206	   63
 32	        2048	       188	   62
 33	        2112	       189	   62
 34	        2176	       198	   62
 35	        2240	       180	   62
 36	        2304	       196	   62
 37	        2368	       185	   62
 38	        2432	       199	   62
 39	        2496	       200	   62
 40	        2560	       195	   62
 41	        2624	       184	   62
 42	        2688	       203	   62
 43	        2752	       188	   62
 44	        2816	       189	   62
 45	        2880	       190	   62
 46	        2944	       180	   62
 47	        3008	       184	   62
 48	        3072	       208	   62
 49	        3136	       204	   62
 50	        3200	       205	   62
 51	        3264	       225	   62
 52	        3328	       191	   62
 53	        3392	       194	   62
 54	        3456	       201	   62
 55	        3520	       194	   62
 56	        3584	       215	   62
 57	        3648	       176	   62
 58	        3712	       211	   62
 59	        3776	       202	   62
 60	        3840	       193	   62
 61	        3904	       189	   62
 62	        3968	       193	   62
 63	        4032	       187	   62
