# arm64 cross-core store-stride retention test
# train_core=1 trigger_core=0
# train core accesses 3 stores, trigger core triggers access 3
# shared_page=0x00007fff4eb30000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=trigger_core_thread
# position	offset_bytes	avg_ns	probes
  0	           0	        74	   63
  1	          64	       192	   63
  2	         128	       199	   63
  3	         192	       221	   63
  4	         256	       202	   63
  5	         320	        73	   63
  6	         384	       196	   63
  7	         448	       202	   63
  8	         512	       225	   63
  9	         576	       153	   63
 10	         640	        73	   63
 11	         704	       210	   63
 12	         768	       204	   63
 13	         832	       203	   63
 14	         896	       207	   63
 15	         960	       108	   63
 16	        1024	       196	   63
 17	        1088	       194	   63
 18	        1152	       201	   63
 19	        1216	       209	   63
 20	        1280	       216	   63
 21	        1344	       192	   63
 22	        1408	       209	   63
 23	        1472	       186	   63
 24	        1536	       196	   63
 25	        1600	       199	   63
 26	        1664	       213	   63
 27	        1728	       200	   63
 28	        1792	       156	   63
 29	        1856	       178	   63
 30	        1920	       186	   63
 31	        1984	       191	   63
 32	        2048	       192	   62
 33	        2112	       200	   62
 34	        2176	       195	   62
 35	        2240	       194	   62
 36	        2304	       208	   62
 37	        2368	       205	   62
 38	        2432	       212	   62
 39	        2496	       190	   62
 40	        2560	       216	   62
 41	        2624	       210	   62
 42	        2688	       209	   62
 43	        2752	       200	   62
 44	        2816	       211	   62
 45	        2880	       215	   62
 46	        2944	       202	   62
 47	        3008	       211	   62
 48	        3072	       151	   62
 49	        3136	       208	   62
 50	        3200	       215	   62
 51	        3264	       197	   62
 52	        3328	       191	   62
 53	        3392	       195	   62
 54	        3456	       208	   62
 55	        3520	       198	   62
 56	        3584	       201	   62
 57	        3648	       190	   62
 58	        3712	       196	   62
 59	        3776	       194	   62
 60	        3840	       212	   62
 61	        3904	       206	   62
 62	        3968	       184	   62
 63	        4032	       207	   62
