position	offset_bytes	role	avg_ns	probes
0	0	trained	217	63
1	64	cache_miss	380	63
2	128	cache_miss	367	63
3	192	cache_miss	379	63
4	256	cache_miss	380	63
5	320	trained	212	63
6	384	cache_miss	387	63
7	448	cache_miss	372	63
8	512	cache_miss	360	63
9	576	cache_miss	359	63
10	640	trigger	217	63
11	704	cache_miss	362	63
12	768	cache_miss	361	63
13	832	cache_miss	365	63
14	896	cache_miss	367	63
15	960	predicted	211	63
16	1024	cache_miss	369	63
17	1088	cache_miss	373	63
18	1152	cache_miss	371	63
19	1216	cache_miss	373	63
20	1280	cache_miss	222	63
21	1344	cache_miss	379	63
22	1408	cache_miss	379	63
23	1472	cache_miss	378	63
24	1536	cache_miss	362	63
25	1600	cache_miss	212	63
26	1664	cache_miss	366	63
27	1728	cache_miss	358	63
28	1792	cache_miss	361	63
29	1856	cache_miss	360	63
30	1920	cache_miss	363	63
31	1984	cache_miss	374	63
32	2048	cache_miss	376	62
33	2112	cache_miss	364	62
34	2176	cache_miss	375	62
35	2240	cache_miss	372	62
36	2304	cache_miss	380	62
37	2368	cache_miss	380	62
38	2432	cache_miss	378	62
39	2496	cache_miss	378	62
40	2560	cache_miss	368	62
41	2624	cache_miss	363	62
42	2688	cache_miss	352	62
43	2752	cache_miss	358	62
44	2816	cache_miss	365	62
45	2880	cache_miss	365	62
46	2944	cache_miss	368	62
47	3008	cache_miss	358	62
48	3072	cache_miss	369	62
49	3136	cache_miss	373	62
50	3200	cache_miss	378	62
51	3264	cache_miss	365	62
52	3328	cache_miss	368	62
53	3392	cache_miss	375	62
54	3456	cache_miss	384	62
55	3520	cache_miss	377	62
56	3584	cache_miss	364	62
57	3648	cache_miss	365	62
58	3712	cache_miss	358	62
59	3776	cache_miss	364	62
60	3840	cache_miss	363	62
61	3904	cache_miss	372	62
62	3968	cache_miss	359	62
63	4032	cache_miss	362	62
