position	offset_bytes	role	avg_ns	probes
0	0	trained	134	63
1	64	cache_miss	282	63
2	128	cache_miss	282	63
3	192	cache_miss	275	63
4	256	cache_miss	279	63
5	320	trained	124	63
6	384	cache_miss	282	63
7	448	cache_miss	274	63
8	512	cache_miss	274	63
9	576	cache_miss	263	63
10	640	trigger	195	63
11	704	cache_miss	266	63
12	768	cache_miss	266	63
13	832	cache_miss	269	63
14	896	cache_miss	267	63
15	960	predicted	267	63
16	1024	cache_miss	277	63
17	1088	cache_miss	271	63
18	1152	cache_miss	275	63
19	1216	cache_miss	276	63
20	1280	cache_miss	279	63
21	1344	cache_miss	278	63
22	1408	cache_miss	283	63
23	1472	cache_miss	272	63
24	1536	cache_miss	277	63
25	1600	cache_miss	269	63
26	1664	cache_miss	262	63
27	1728	cache_miss	261	63
28	1792	cache_miss	272	63
29	1856	cache_miss	263	63
30	1920	cache_miss	261	63
31	1984	cache_miss	261	63
32	2048	cache_miss	277	62
33	2112	cache_miss	267	62
34	2176	cache_miss	279	62
35	2240	cache_miss	274	62
36	2304	cache_miss	267	62
37	2368	cache_miss	275	62
38	2432	cache_miss	276	62
39	2496	cache_miss	276	62
40	2560	cache_miss	251	62
41	2624	cache_miss	253	62
42	2688	cache_miss	264	62
43	2752	cache_miss	264	62
44	2816	cache_miss	264	62
45	2880	cache_miss	264	62
46	2944	cache_miss	261	62
47	3008	cache_miss	271	62
48	3072	cache_miss	270	62
49	3136	cache_miss	269	62
50	3200	cache_miss	279	62
51	3264	cache_miss	267	62
52	3328	cache_miss	286	62
53	3392	cache_miss	285	62
54	3456	cache_miss	275	62
55	3520	cache_miss	272	62
56	3584	cache_miss	267	62
57	3648	cache_miss	255	62
58	3712	cache_miss	260	62
59	3776	cache_miss	260	62
60	3840	cache_miss	275	62
61	3904	cache_miss	264	62
62	3968	cache_miss	260	62
63	4032	cache_miss	261	62
