# arm64 EL0/EL1 store-stride retention test
# EL0 trains 3 stores, EL0_after_EL1_context_switch triggers access 3
# user_page=0x00007fff47334000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc
# trigger=el1_context_switch_then_same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        73	   63
  1	          64	       190	   63
  2	         128	       208	   63
  3	         192	       203	   63
  4	         256	       205	   63
  5	         320	        70	   63
  6	         384	       210	   63
  7	         448	       196	   63
  8	         512	       198	   63
  9	         576	       174	   63
 10	         640	        72	   63
 11	         704	       195	   63
 12	         768	       175	   63
 13	         832	       186	   63
 14	         896	       183	   63
 15	         960	        68	   63
 16	        1024	       174	   63
 17	        1088	       171	   63
 18	        1152	       190	   63
 19	        1216	       181	   63
 20	        1280	       176	   63
 21	        1344	       195	   63
 22	        1408	       171	   63
 23	        1472	       187	   63
 24	        1536	       170	   63
 25	        1600	       187	   63
 26	        1664	       195	   63
 27	        1728	       179	   63
 28	        1792	       184	   63
 29	        1856	       182	   63
 30	        1920	       160	   63
 31	        1984	       159	   63
 32	        2048	       185	   62
 33	        2112	       192	   62
 34	        2176	       167	   62
 35	        2240	       188	   62
 36	        2304	       143	   62
 37	        2368	       166	   62
 38	        2432	       180	   62
 39	        2496	       175	   62
 40	        2560	       165	   62
 41	        2624	       190	   62
 42	        2688	       173	   62
 43	        2752	       187	   62
 44	        2816	       157	   62
 45	        2880	       158	   62
 46	        2944	       168	   62
 47	        3008	       165	   62
 48	        3072	       196	   62
 49	        3136	       186	   62
 50	        3200	       186	   62
 51	        3264	       184	   62
 52	        3328	       190	   62
 53	        3392	       198	   62
 54	        3456	       200	   62
 55	        3520	       196	   62
 56	        3584	       193	   62
 57	        3648	       183	   62
 58	        3712	       189	   62
 59	        3776	       183	   62
 60	        3840	       192	   62
 61	        3904	       200	   62
 62	        3968	       186	   62
 63	        4032	       202	   62
