# arm64 EL0/EL1 store-stride retention test
# EL0 trains 3 stores, EL1 triggers access 3
# user_page=0x00007ffed23e4000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        72	   63
  1	          64	       195	   63
  2	         128	       200	   63
  3	         192	       201	   63
  4	         256	       207	   63
  5	         320	        71	   63
  6	         384	       194	   63
  7	         448	       197	   63
  8	         512	       203	   63
  9	         576	       214	   63
 10	         640	        72	   63
 11	         704	       203	   63
 12	         768	       192	   63
 13	         832	       209	   63
 14	         896	       185	   63
 15	         960	       182	   63
 16	        1024	       186	   63
 17	        1088	       192	   63
 18	        1152	       195	   63
 19	        1216	       209	   63
 20	        1280	       206	   63
 21	        1344	       178	   63
 22	        1408	       208	   63
 23	        1472	       206	   63
 24	        1536	       169	   63
 25	        1600	       194	   63
 26	        1664	       182	   63
 27	        1728	       564	   63
 28	        1792	       204	   63
 29	        1856	       207	   63
 30	        1920	       191	   63
 31	        1984	       205	   63
 32	        2048	       202	   62
 33	        2112	       193	   62
 34	        2176	       193	   62
 35	        2240	       191	   62
 36	        2304	       173	   62
 37	        2368	       167	   62
 38	        2432	       188	   62
 39	        2496	       189	   62
 40	        2560	       187	   62
 41	        2624	       186	   62
 42	        2688	       175	   62
 43	        2752	       189	   62
 44	        2816	       202	   62
 45	        2880	       202	   62
 46	        2944	       189	   62
 47	        3008	       161	   62
 48	        3072	       191	   62
 49	        3136	       203	   62
 50	        3200	       206	   62
 51	        3264	       190	   62
 52	        3328	       189	   62
 53	        3392	       219	   62
 54	        3456	       187	   62
 55	        3520	       203	   62
 56	        3584	       202	   62
 57	        3648	       180	   62
 58	        3712	       201	   62
 59	        3776	       195	   62
 60	        3840	       187	   62
 61	        3904	       187	   62
 62	        3968	       190	   62
 63	        4032	       195	   62
