# arm64 EL0/EL1 store-stride retention test
# EL0 trains 3 stores, EL0 triggers access 3
# user_page=0x00007fff20f2c000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc
# trigger=same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        71	   63
  1	          64	       216	   63
  2	         128	       194	   63
  3	         192	       196	   63
  4	         256	       208	   63
  5	         320	        67	   63
  6	         384	       202	   63
  7	         448	       218	   63
  8	         512	       206	   63
  9	         576	       189	   63
 10	         640	        69	   63
 11	         704	       191	   63
 12	         768	       168	   63
 13	         832	       186	   63
 14	         896	       196	   63
 15	         960	       889	   63
 16	        1024	       191	   63
 17	        1088	       174	   63
 18	        1152	       193	   63
 19	        1216	       214	   63
 20	        1280	        77	   63
 21	        1344	       168	   63
 22	        1408	       175	   63
 23	        1472	       189	   63
 24	        1536	       165	   63
 25	        1600	        77	   63
 26	        1664	       157	   63
 27	        1728	       178	   63
 28	        1792	       188	   63
 29	        1856	       187	   63
 30	        1920	        75	   63
 31	        1984	       181	   63
 32	        2048	       187	   62
 33	        2112	       209	   62
 34	        2176	       197	   62
 35	        2240	        77	   62
 36	        2304	       187	   62
 37	        2368	       207	   62
 38	        2432	       206	   62
 39	        2496	       214	   62
 40	        2560	        80	   62
 41	        2624	       185	   62
 42	        2688	       192	   62
 43	        2752	       189	   62
 44	        2816	       206	   62
 45	        2880	        75	   62
 46	        2944	       200	   62
 47	        3008	       178	   62
 48	        3072	       183	   62
 49	        3136	       190	   62
 50	        3200	        77	   62
 51	        3264	       197	   62
 52	        3328	       186	   62
 53	        3392	       184	   62
 54	        3456	       205	   62
 55	        3520	        79	   62
 56	        3584	       161	   62
 57	        3648	       197	   62
 58	        3712	       190	   62
 59	        3776	       194	   62
 60	        3840	        78	   62
 61	        3904	       192	   62
 62	        3968	       189	   62
 63	        4032	       184	   62
