# arm64 EL0/EL1 store-stride retention test
# EL0 trains 3 stores, EL1 triggers access 3
# user_page=0x00007fff65248000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc
# trigger=syscall_read_dev_zero_to_user_page
# position	offset_bytes	avg_ns	probes
  0	           0	        69	   63
  1	          64	       194	   63
  2	         128	       208	   63
  3	         192	       209	   63
  4	         256	       206	   63
  5	         320	        69	   63
  6	         384	       198	   63
  7	         448	       214	   63
  8	         512	       206	   63
  9	         576	       183	   63
 10	         640	        69	   63
 11	         704	       206	   63
 12	         768	       177	   63
 13	         832	       194	   63
 14	         896	       198	   63
 15	         960	        69	   63
 16	        1024	       189	   63
 17	        1088	       186	   63
 18	        1152	       209	   63
 19	        1216	       211	   63
 20	        1280	       177	   63
 21	        1344	       186	   63
 22	        1408	       181	   63
 23	        1472	       220	   63
 24	        1536	       185	   63
 25	        1600	       184	   63
 26	        1664	       183	   63
 27	        1728	       169	   63
 28	        1792	       193	   63
 29	        1856	       183	   63
 30	        1920	       191	   63
 31	        1984	       193	   63
 32	        2048	       187	   62
 33	        2112	       160	   62
 34	        2176	       151	   62
 35	        2240	       163	   62
 36	        2304	       169	   62
 37	        2368	       160	   62
 38	        2432	       171	   62
 39	        2496	       188	   62
 40	        2560	       185	   62
 41	        2624	       179	   62
 42	        2688	       190	   62
 43	        2752	       197	   62
 44	        2816	       204	   62
 45	        2880	       193	   62
 46	        2944	       194	   62
 47	        3008	       156	   62
 48	        3072	       182	   62
 49	        3136	       209	   62
 50	        3200	       209	   62
 51	        3264	       177	   62
 52	        3328	       190	   62
 53	        3392	       208	   62
 54	        3456	       186	   62
 55	        3520	       195	   62
 56	        3584	       193	   62
 57	        3648	       182	   62
 58	        3712	       207	   62
 59	        3776	       203	   62
 60	        3840	       197	   62
 61	        3904	       196	   62
 62	        3968	       194	   62
 63	        4032	       188	   62
