# arm64 EL0/EL1 store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# EL0 trains 2 stores, EL0 triggers 1 access(es)
# user_page=0x0000ffffb87f0000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc
# trigger=same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	       217	   63
  1	          64	       380	   63
  2	         128	       367	   63
  3	         192	       379	   63
  4	         256	       380	   63
  5	         320	       212	   63
  6	         384	       387	   63
  7	         448	       372	   63
  8	         512	       360	   63
  9	         576	       359	   63
 10	         640	       217	   63
 11	         704	       362	   63
 12	         768	       361	   63
 13	         832	       365	   63
 14	         896	       367	   63
 15	         960	       211	   63
 16	        1024	       369	   63
 17	        1088	       373	   63
 18	        1152	       371	   63
 19	        1216	       373	   63
 20	        1280	       222	   63
 21	        1344	       379	   63
 22	        1408	       379	   63
 23	        1472	       378	   63
 24	        1536	       362	   63
 25	        1600	       212	   63
 26	        1664	       366	   63
 27	        1728	       358	   63
 28	        1792	       361	   63
 29	        1856	       360	   63
 30	        1920	       363	   63
 31	        1984	       374	   63
 32	        2048	       376	   62
 33	        2112	       364	   62
 34	        2176	       375	   62
 35	        2240	       372	   62
 36	        2304	       380	   62
 37	        2368	       380	   62
 38	        2432	       378	   62
 39	        2496	       378	   62
 40	        2560	       368	   62
 41	        2624	       363	   62
 42	        2688	       352	   62
 43	        2752	       358	   62
 44	        2816	       365	   62
 45	        2880	       365	   62
 46	        2944	       368	   62
 47	        3008	       358	   62
 48	        3072	       369	   62
 49	        3136	       373	   62
 50	        3200	       378	   62
 51	        3264	       365	   62
 52	        3328	       368	   62
 53	        3392	       375	   62
 54	        3456	       384	   62
 55	        3520	       377	   62
 56	        3584	       364	   62
 57	        3648	       365	   62
 58	        3712	       358	   62
 59	        3776	       364	   62
 60	        3840	       363	   62
 61	        3904	       372	   62
 62	        3968	       359	   62
 63	        4032	       362	   62
