# arm64 EL0/EL1 store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# EL0 trains 2 stores, EL0 triggers 1 access(es)
# user_page=0x0000ffffb83d3000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	       134	   63
  1	          64	       282	   63
  2	         128	       282	   63
  3	         192	       275	   63
  4	         256	       279	   63
  5	         320	       124	   63
  6	         384	       282	   63
  7	         448	       274	   63
  8	         512	       274	   63
  9	         576	       263	   63
 10	         640	       195	   63
 11	         704	       266	   63
 12	         768	       266	   63
 13	         832	       269	   63
 14	         896	       267	   63
 15	         960	       267	   63
 16	        1024	       277	   63
 17	        1088	       271	   63
 18	        1152	       275	   63
 19	        1216	       276	   63
 20	        1280	       279	   63
 21	        1344	       278	   63
 22	        1408	       283	   63
 23	        1472	       272	   63
 24	        1536	       277	   63
 25	        1600	       269	   63
 26	        1664	       262	   63
 27	        1728	       261	   63
 28	        1792	       272	   63
 29	        1856	       263	   63
 30	        1920	       261	   63
 31	        1984	       261	   63
 32	        2048	       277	   62
 33	        2112	       267	   62
 34	        2176	       279	   62
 35	        2240	       274	   62
 36	        2304	       267	   62
 37	        2368	       275	   62
 38	        2432	       276	   62
 39	        2496	       276	   62
 40	        2560	       251	   62
 41	        2624	       253	   62
 42	        2688	       264	   62
 43	        2752	       264	   62
 44	        2816	       264	   62
 45	        2880	       264	   62
 46	        2944	       261	   62
 47	        3008	       271	   62
 48	        3072	       270	   62
 49	        3136	       269	   62
 50	        3200	       279	   62
 51	        3264	       267	   62
 52	        3328	       286	   62
 53	        3392	       285	   62
 54	        3456	       275	   62
 55	        3520	       272	   62
 56	        3584	       267	   62
 57	        3648	       255	   62
 58	        3712	       260	   62
 59	        3776	       260	   62
 60	        3840	       275	   62
 61	        3904	       264	   62
 62	        3968	       260	   62
 63	        4032	       261	   62
