# arm64 EL0/EL1 store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# EL0 trains 2 stores, EL0_after_EL1_context_switch triggers 1 access(es)
# user_page=0x0000ffffa74d6000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc
# trigger=el1_context_switch_then_same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	       129	   63
  1	          64	       279	   63
  2	         128	       286	   63
  3	         192	       279	   63
  4	         256	       286	   63
  5	         320	       123	   63
  6	         384	       285	   63
  7	         448	       285	   63
  8	         512	       264	   63
  9	         576	       267	   63
 10	         640	       134	   63
 11	         704	       268	   63
 12	         768	       269	   63
 13	         832	       268	   63
 14	         896	       266	   63
 15	         960	       162	   63
 16	        1024	       275	   63
 17	        1088	       280	   63
 18	        1152	       278	   63
 19	        1216	       268	   63
 20	        1280	       285	   63
 21	        1344	       280	   63
 22	        1408	       284	   63
 23	        1472	       283	   63
 24	        1536	       264	   63
 25	        1600	       267	   63
 26	        1664	       268	   63
 27	        1728	       257	   63
 28	        1792	       257	   63
 29	        1856	       270	   63
 30	        1920	       258	   63
 31	        1984	       258	   63
 32	        2048	       274	   62
 33	        2112	       273	   62
 34	        2176	       272	   62
 35	        2240	       274	   62
 36	        2304	       274	   62
 37	        2368	       282	   62
 38	        2432	       274	   62
 39	        2496	       284	   62
 40	        2560	       266	   62
 41	        2624	       277	   62
 42	        2688	       266	   62
 43	        2752	       262	   62
 44	        2816	       271	   62
 45	        2880	       266	   62
 46	        2944	       256	   62
 47	        3008	       262	   62
 48	        3072	       280	   62
 49	        3136	       279	   62
 50	        3200	       274	   62
 51	        3264	       277	   62
 52	        3328	       276	   62
 53	        3392	       282	   62
 54	        3456	       273	   62
 55	        3520	       281	   62
 56	        3584	       269	   62
 57	        3648	       264	   62
 58	        3712	       266	   62
 59	        3776	       266	   62
 60	        3840	       267	   62
 61	        3904	       270	   62
 62	        3968	       267	   62
 63	        4032	       266	   62
