# arm64 EL0/EL1 store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# EL0 trains 2 stores, EL1 triggers 1 access(es)
# user_page=0x0000ffffb82c4000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc
# trigger=syscall_read_dev_zero_to_user_page
# position	offset_bytes	avg_ns	probes
  0	           0	       130	   63
  1	          64	       269	   63
  2	         128	       278	   63
  3	         192	       272	   63
  4	         256	       279	   63
  5	         320	       125	   63
  6	         384	       284	   63
  7	         448	       274	   63
  8	         512	       273	   63
  9	         576	       272	   63
 10	         640	       125	   63
 11	         704	       268	   63
 12	         768	       269	   63
 13	         832	       267	   63
 14	         896	       264	   63
 15	         960	       177	   63
 16	        1024	       278	   63
 17	        1088	       263	   63
 18	        1152	       277	   63
 19	        1216	       266	   63
 20	        1280	       271	   63
 21	        1344	       271	   63
 22	        1408	       277	   63
 23	        1472	       273	   63
 24	        1536	       258	   63
 25	        1600	       269	   63
 26	        1664	       257	   63
 27	        1728	       268	   63
 28	        1792	       269	   63
 29	        1856	       264	   63
 30	        1920	       266	   63
 31	        1984	       263	   63
 32	        2048	       275	   62
 33	        2112	       276	   62
 34	        2176	       271	   62
 35	        2240	       266	   62
 36	        2304	       285	   62
 37	        2368	       282	   62
 38	        2432	       285	   62
 39	        2496	       277	   62
 40	        2560	       270	   62
 41	        2624	       266	   62
 42	        2688	       261	   62
 43	        2752	       267	   62
 44	        2816	       266	   62
 45	        2880	       264	   62
 46	        2944	       271	   62
 47	        3008	       274	   62
 48	        3072	       271	   62
 49	        3136	       266	   62
 50	        3200	       271	   62
 51	        3264	       262	   62
 52	        3328	       274	   62
 53	        3392	       279	   62
 54	        3456	       289	   62
 55	        3520	       271	   62
 56	        3584	       261	   62
 57	        3648	       266	   62
 58	        3712	       263	   62
 59	        3776	       266	   62
 60	        3840	       259	   62
 61	        3904	       263	   62
 62	        3968	       261	   62
 63	        4032	       264	   62
