# arm64 EL0/EL1 store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# EL0 trains 1 stores, EL0 triggers 1 access(es)
# user_page=0x0000f139eeec9000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc
# trigger=same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        45	   63
  1	          64	       149	   63
  2	         128	       131	   63
  3	         192	       143	   63
  4	         256	       136	   63
  5	         320	        46	   63
  6	         384	       133	   63
  7	         448	       131	   63
  8	         512	       147	   63
  9	         576	       142	   63
 10	         640	        56	   63
 11	         704	       139	   63
 12	         768	       149	   63
 13	         832	       140	   63
 14	         896	       140	   63
 15	         960	       138	   63
 16	        1024	       151	   63
 17	        1088	       143	   63
 18	        1152	       142	   63
 19	        1216	       141	   63
 20	        1280	       152	   63
 21	        1344	       141	   63
 22	        1408	       142	   63
 23	        1472	       143	   63
 24	        1536	       144	   63
 25	        1600	       151	   63
 26	        1664	       144	   63
 27	        1728	       144	   63
 28	        1792	       142	   63
 29	        1856	       152	   63
 30	        1920	       142	   63
 31	        1984	       141	   63
 32	        2048	       139	   62
 33	        2112	       140	   62
 34	        2176	       141	   62
 35	        2240	       148	   62
 36	        2304	       138	   62
 37	        2368	       138	   62
 38	        2432	       138	   62
 39	        2496	       145	   62
 40	        2560	       139	   62
 41	        2624	       140	   62
 42	        2688	       149	   62
 43	        2752	       141	   62
 44	        2816	       139	   62
 45	        2880	       141	   62
 46	        2944	       144	   62
 47	        3008	       138	   62
 48	        3072	       141	   62
 49	        3136	       142	   62
 50	        3200	       152	   62
 51	        3264	       141	   62
 52	        3328	       141	   62
 53	        3392	       143	   62
 54	        3456	       150	   62
 55	        3520	       142	   62
 56	        3584	       142	   62
 57	        3648	       141	   62
 58	        3712	       145	   62
 59	        3776	       149	   62
 60	        3840	       142	   62
 61	        3904	       142	   62
 62	        3968	       141	   62
 63	        4032	       145	   62
