# arm64 EL0/EL1 store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# EL0 trains 1 stores, EL0 triggers 1 access(es)
# user_page=0x0000ee26ded81000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        46	   63
  1	          64	       115	   63
  2	         128	        72	   63
  3	         192	       137	   63
  4	         256	       123	   63
  5	         320	       179	   63
  6	         384	       136	   63
  7	         448	       138	   63
  8	         512	       143	   63
  9	         576	       147	   63
 10	         640	       166	   63
 11	         704	       136	   63
 12	         768	       139	   63
 13	         832	       145	   63
 14	         896	       137	   63
 15	         960	       135	   63
 16	        1024	       144	   63
 17	        1088	       148	   63
 18	        1152	       140	   63
 19	        1216	       137	   63
 20	        1280	       141	   63
 21	        1344	       149	   63
 22	        1408	       139	   63
 23	        1472	       140	   63
 24	        1536	       146	   63
 25	        1600	       140	   63
 26	        1664	       139	   63
 27	        1728	       138	   63
 28	        1792	       148	   63
 29	        1856	       144	   63
 30	        1920	       141	   63
 31	        1984	       139	   63
 32	        2048	       136	   62
 33	        2112	       136	   62
 34	        2176	       145	   62
 35	        2240	       139	   62
 36	        2304	       134	   62
 37	        2368	       138	   62
 38	        2432	       146	   62
 39	        2496	       139	   62
 40	        2560	       137	   62
 41	        2624	       138	   62
 42	        2688	       140	   62
 43	        2752	       147	   62
 44	        2816	       136	   62
 45	        2880	       136	   62
 46	        2944	       138	   62
 47	        3008	       143	   62
 48	        3072	       138	   62
 49	        3136	       139	   62
 50	        3200	       146	   62
 51	        3264	       150	   62
 52	        3328	       139	   62
 53	        3392	       140	   62
 54	        3456	       141	   62
 55	        3520	       145	   62
 56	        3584	       137	   62
 57	        3648	       138	   62
 58	        3712	       149	   62
 59	        3776	       140	   62
 60	        3840	       139	   62
 61	        3904	       139	   62
 62	        3968	       147	   62
 63	        4032	       141	   62
