# arm64 EL0/EL1 store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# EL0 trains 1 stores, EL0_after_EL1_context_switch triggers 1 access(es)
# user_page=0x0000ff1a76a6f000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc
# trigger=el1_context_switch_then_same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        49	   63
  1	          64	       145	   63
  2	         128	       139	   63
  3	         192	       137	   63
  4	         256	       147	   63
  5	         320	        46	   63
  6	         384	       131	   63
  7	         448	       136	   63
  8	         512	       139	   63
  9	         576	       145	   63
 10	         640	        52	   63
 11	         704	       138	   63
 12	         768	       139	   63
 13	         832	       142	   63
 14	         896	       138	   63
 15	         960	       137	   63
 16	        1024	       142	   63
 17	        1088	       152	   63
 18	        1152	       139	   63
 19	        1216	       141	   63
 20	        1280	       141	   63
 21	        1344	       151	   63
 22	        1408	       139	   63
 23	        1472	       139	   63
 24	        1536	       147	   63
 25	        1600	       147	   63
 26	        1664	       142	   63
 27	        1728	       139	   63
 28	        1792	       145	   63
 29	        1856	       142	   63
 30	        1920	       163	   63
 31	        1984	       140	   63
 32	        2048	       138	   62
 33	        2112	       136	   62
 34	        2176	       149	   62
 35	        2240	       140	   62
 36	        2304	       139	   62
 37	        2368	       138	   62
 38	        2432	       145	   62
 39	        2496	       139	   62
 40	        2560	       138	   62
 41	        2624	       139	   62
 42	        2688	       140	   62
 43	        2752	       144	   62
 44	        2816	       169	   62
 45	        2880	       137	   62
 46	        2944	       140	   62
 47	        3008	       145	   62
 48	        3072	       140	   62
 49	        3136	       139	   62
 50	        3200	       142	   62
 51	        3264	       149	   62
 52	        3328	       140	   62
 53	        3392	       142	   62
 54	        3456	       141	   62
 55	        3520	       149	   62
 56	        3584	       140	   62
 57	        3648	       141	   62
 58	        3712	       153	   62
 59	        3776	       146	   62
 60	        3840	       140	   62
 61	        3904	       142	   62
 62	        3968	       146	   62
 63	        4032	       141	   62
