# arm64 EL0/EL1 store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# EL0 trains 1 stores, EL1 triggers 1 access(es)
# user_page=0x0000e09ff1e6f000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc
# trigger=syscall_read_dev_zero_to_user_page
# position	offset_bytes	avg_ns	probes
  0	           0	        49	   63
  1	          64	       142	   63
  2	         128	       104	   63
  3	         192	       139	   63
  4	         256	       134	   63
  5	         320	        46	   63
  6	         384	       134	   63
  7	         448	       152	   63
  8	         512	       143	   63
  9	         576	       142	   63
 10	         640	       152	   63
 11	         704	       151	   63
 12	         768	       145	   63
 13	         832	       146	   63
 14	         896	       151	   63
 15	         960	       145	   63
 16	        1024	       142	   63
 17	        1088	       142	   63
 18	        1152	       155	   63
 19	        1216	       145	   63
 20	        1280	       144	   63
 21	        1344	       142	   63
 22	        1408	       152	   63
 23	        1472	       141	   63
 24	        1536	       142	   63
 25	        1600	       141	   63
 26	        1664	       147	   63
 27	        1728	       150	   63
 28	        1792	       141	   63
 29	        1856	       142	   63
 30	        1920	       144	   63
 31	        1984	       148	   63
 32	        2048	       149	   62
 33	        2112	       158	   62
 34	        2176	       143	   62
 35	        2240	       141	   62
 36	        2304	       145	   62
 37	        2368	       153	   62
 38	        2432	       144	   62
 39	        2496	       145	   62
 40	        2560	       156	   62
 41	        2624	       152	   62
 42	        2688	       143	   62
 43	        2752	       144	   62
 44	        2816	       154	   62
 45	        2880	       146	   62
 46	        2944	       145	   62
 47	        3008	       145	   62
 48	        3072	       155	   62
 49	        3136	       148	   62
 50	        3200	       143	   62
 51	        3264	       143	   62
 52	        3328	       152	   62
 53	        3392	       143	   62
 54	        3456	       144	   62
 55	        3520	       143	   62
 56	        3584	       147	   62
 57	        3648	       176	   62
 58	        3712	       140	   62
 59	        3776	       140	   62
 60	        3840	       142	   62
 61	        3904	       153	   62
 62	        3968	       142	   62
 63	        4032	       140	   62
