# arm64 strong cross-process store-stride retention test
# parent trains 3 stores, exec child triggers access 3
# parent_pid=22569 child_pid=22570
# parent_page=0x00007fff85178000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        71	   63
  1	          64	       210	   62
  2	         128	       207	   62
  3	         192	       428	   62
  4	         256	       207	   62
  5	         320	        71	   63
  6	         384	       200	   63
  7	         448	       205	   63
  8	         512	       211	   63
  9	         576	       194	   63
 10	         640	        71	   62
 11	         704	       174	   62
 12	         768	       186	   62
 13	         832	       203	   62
 14	         896	       192	   63
 15	         960	       187	   63
 16	        1024	       213	   63
 17	        1088	       188	   63
 18	        1152	       211	   63
 19	        1216	       198	   62
 20	        1280	       292	   62
 21	        1344	       188	   62
 22	        1408	       194	   62
 23	        1472	       184	   63
 24	        1536	       194	   63
 25	        1600	       186	   63
 26	        1664	       187	   63
 27	        1728	       187	   63
 28	        1792	       191	   62
 29	        1856	       178	   62
 30	        1920	       200	   62
 31	        1984	       194	   62
 32	        2048	       181	   62
 33	        2112	       208	   63
 34	        2176	       197	   63
 35	        2240	       201	   63
 36	        2304	       198	   63
 37	        2368	       288	   62
 38	        2432	       192	   62
 39	        2496	       193	   62
 40	        2560	       208	   62
 41	        2624	       191	   62
 42	        2688	       198	   63
 43	        2752	       185	   63
 44	        2816	       202	   63
 45	        2880	       190	   63
 46	        2944	       211	   62
 47	        3008	       154	   62
 48	        3072	       220	   62
 49	        3136	       206	   62
 50	        3200	       193	   62
 51	        3264	       183	   63
 52	        3328	       200	   63
 53	        3392	       197	   63
 54	        3456	       200	   63
 55	        3520	       208	   62
 56	        3584	       183	   62
 57	        3648	       178	   62
 58	        3712	       194	   62
 59	        3776	       184	   62
 60	        3840	       216	   63
 61	        3904	       203	   63
 62	        3968	       181	   63
 63	        4032	       187	   63
