# arm64 strong cross-process store-stride retention test
# parent trains 3 stores, parent_after_process_switch triggers access 3
# parent_pid=22782 child_pid=22783
# parent_page=0x00007fff05aa0000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=process_switch_then_same_process
# position	offset_bytes	avg_ns	probes
  0	           0	        73	   63
  1	          64	       203	   62
  2	         128	       211	   62
  3	         192	       224	   62
  4	         256	       200	   62
  5	         320	        72	   63
  6	         384	       186	   63
  7	         448	       195	   63
  8	         512	       192	   63
  9	         576	       171	   63
 10	         640	        72	   62
 11	         704	       196	   62
 12	         768	       201	   62
 13	         832	       204	   62
 14	         896	       186	   63
 15	         960	        74	   63
 16	        1024	       188	   63
 17	        1088	       188	   63
 18	        1152	       193	   63
 19	        1216	       196	   62
 20	        1280	       209	   62
 21	        1344	       216	   62
 22	        1408	       200	   62
 23	        1472	       203	   63
 24	        1536	       195	   63
 25	        1600	       198	   63
 26	        1664	       202	   63
 27	        1728	       196	   63
 28	        1792	       194	   62
 29	        1856	       154	   62
 30	        1920	       201	   62
 31	        1984	       204	   62
 32	        2048	       206	   62
 33	        2112	       196	   63
 34	        2176	       190	   63
 35	        2240	       193	   63
 36	        2304	       199	   63
 37	        2368	       210	   62
 38	        2432	       207	   62
 39	        2496	       201	   62
 40	        2560	       218	   62
 41	        2624	       196	   62
 42	        2688	       208	   63
 43	        2752	       192	   63
 44	        2816	       186	   63
 45	        2880	       193	   63
 46	        2944	       196	   62
 47	        3008	       210	   62
 48	        3072	       187	   62
 49	        3136	       203	   62
 50	        3200	       215	   62
 51	        3264	       194	   63
 52	        3328	       189	   63
 53	        3392	       187	   63
 54	        3456	       180	   63
 55	        3520	       193	   62
 56	        3584	       198	   62
 57	        3648	       195	   62
 58	        3712	       207	   62
 59	        3776	       208	   62
 60	        3840	       209	   63
 61	        3904	       192	   63
 62	        3968	       184	   63
 63	        4032	       186	   63
