# arm64 strong cross-process store-stride retention test
# parent trains 3 stores, parent triggers access 3
# parent_pid=22599 child_pid=-1
# parent_page=0x00007ffec324c000 child_page=0x00007ffec324c000 same_va=yes
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=same_process
# position	offset_bytes	avg_ns	probes
  0	           0	        71	   63
  1	          64	       225	   62
  2	         128	       224	   62
  3	         192	       225	   62
  4	         256	       223	   62
  5	         320	        72	   63
  6	         384	       198	   63
  7	         448	       217	   63
  8	         512	       220	   63
  9	         576	       213	   63
 10	         640	        69	   62
 11	         704	       219	   62
 12	         768	       194	   62
 13	         832	       226	   62
 14	         896	       221	   63
 15	         960	        71	   63
 16	        1024	       200	   63
 17	        1088	       197	   63
 18	        1152	       224	   63
 19	        1216	       207	   62
 20	        1280	        80	   62
 21	        1344	       212	   62
 22	        1408	       200	   62
 23	        1472	       205	   63
 24	        1536	       197	   63
 25	        1600	        95	   63
 26	        1664	       211	   63
 27	        1728	       179	   63
 28	        1792	       219	   62
 29	        1856	       213	   62
 30	        1920	        75	   62
 31	        1984	       213	   62
 32	        2048	       189	   62
 33	        2112	       208	   63
 34	        2176	       200	   63
 35	        2240	        76	   63
 36	        2304	       175	   63
 37	        2368	       201	   62
 38	        2432	       242	   62
 39	        2496	       229	   62
 40	        2560	        75	   62
 41	        2624	       210	   62
 42	        2688	       214	   63
 43	        2752	       207	   63
 44	        2816	       210	   63
 45	        2880	        77	   63
 46	        2944	       209	   62
 47	        3008	       199	   62
 48	        3072	       211	   62
 49	        3136	       239	   62
 50	        3200	        76	   62
 51	        3264	       229	   63
 52	        3328	       191	   63
 53	        3392	       180	   63
 54	        3456	       215	   63
 55	        3520	        75	   62
 56	        3584	       214	   62
 57	        3648	       199	   62
 58	        3712	       229	   62
 59	        3776	       214	   62
 60	        3840	        77	   63
 61	        3904	       187	   63
 62	        3968	       193	   63
 63	        4032	       206	   63
