# arm64 strong cross-process store-stride retention test
# parent trains 3 stores, exec child triggers access 3
# parent_pid=22891 child_pid=22892
# parent_page=0x00007fff1bba4000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=exec_child_store
# position	offset_bytes	avg_ns	probes
  0	           0	        77	   63
  1	          64	       203	   62
  2	         128	       207	   62
  3	         192	       210	   62
  4	         256	       194	   62
  5	         320	        73	   63
  6	         384	       234	   63
  7	         448	       202	   63
  8	         512	       221	   63
  9	         576	       169	   63
 10	         640	        72	   62
 11	         704	       202	   62
 12	         768	       188	   62
 13	         832	       200	   62
 14	         896	       206	   63
 15	         960	        73	   63
 16	        1024	       211	   63
 17	        1088	       211	   63
 18	        1152	       207	   63
 19	        1216	       201	   62
 20	        1280	       217	   62
 21	        1344	       194	   62
 22	        1408	       190	   62
 23	        1472	       200	   63
 24	        1536	       211	   63
 25	        1600	       203	   63
 26	        1664	       202	   63
 27	        1728	       189	   63
 28	        1792	       153	   62
 29	        1856	       197	   62
 30	        1920	       196	   62
 31	        1984	       187	   62
 32	        2048	       186	   62
 33	        2112	       193	   63
 34	        2176	       206	   63
 35	        2240	       206	   63
 36	        2304	       201	   63
 37	        2368	       195	   62
 38	        2432	       215	   62
 39	        2496	       192	   62
 40	        2560	       195	   62
 41	        2624	       193	   62
 42	        2688	       201	   63
 43	        2752	       223	   63
 44	        2816	       208	   63
 45	        2880	       211	   63
 46	        2944	       194	   62
 47	        3008	       201	   62
 48	        3072	       156	   62
 49	        3136	       195	   62
 50	        3200	       192	   62
 51	        3264	       205	   63
 52	        3328	       206	   63
 53	        3392	       208	   63
 54	        3456	       211	   63
 55	        3520	       193	   62
 56	        3584	       197	   62
 57	        3648	       207	   62
 58	        3712	       201	   62
 59	        3776	       209	   62
 60	        3840	       210	   63
 61	        3904	       196	   63
 62	        3968	       249	   63
 63	        4032	       207	   63
