# arm64 strong cross-process store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# parent trains 2 stores, parent triggers 1 access(es)
# parent_pid=1289945 child_pid=-1
# parent_page=0x0000ffffb8f17000 child_page=0x0000ffffb8f17000 same_va=yes
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=same_process
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	       181	   63
  1	          64	       358	   62
  2	         128	       354	   62
  3	         192	       353	   62
  4	         256	       362	   62
  5	         320	       185	   63
  6	         384	       360	   63
  7	         448	       361	   63
  8	         512	       352	   63
  9	         576	       356	   63
 10	         640	       178	   62
 11	         704	       351	   62
 12	         768	       347	   62
 13	         832	       348	   62
 14	         896	       347	   63
 15	         960	       206	   63
 16	        1024	       361	   63
 17	        1088	       355	   63
 18	        1152	       356	   63
 19	        1216	       371	   62
 20	        1280	       271	   62
 21	        1344	       367	   62
 22	        1408	       370	   62
 23	        1472	       368	   63
 24	        1536	       350	   63
 25	        1600	       203	   63
 26	        1664	       347	   63
 27	        1728	       346	   63
 28	        1792	       346	   62
 29	        1856	       343	   62
 30	        1920	       353	   62
 31	        1984	       349	   62
 32	        2048	       362	   62
 33	        2112	       459	   63
 34	        2176	       359	   63
 35	        2240	       356	   63
 36	        2304	       352	   63
 37	        2368	       367	   62
 38	        2432	       357	   62
 39	        2496	       354	   62
 40	        2560	       346	   62
 41	        2624	       351	   62
 42	        2688	       352	   63
 43	        2752	       352	   63
 44	        2816	       341	   63
 45	        2880	       345	   63
 46	        2944	       344	   62
 47	        3008	       353	   62
 48	        3072	       357	   62
 49	        3136	       356	   62
 50	        3200	       361	   62
 51	        3264	       350	   63
 52	        3328	       358	   63
 53	        3392	       355	   63
 54	        3456	       367	   63
 55	        3520	       353	   62
 56	        3584	       348	   62
 57	        3648	       353	   62
 58	        3712	       358	   62
 59	        3776	       351	   62
 60	        3840	       344	   63
 61	        3904	       352	   63
 62	        3968	       345	   63
 63	        4032	       339	   63
