# arm64 strong cross-process store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# parent trains 2 stores, parent triggers 1 access(es)
# parent_pid=1289953 child_pid=-1
# parent_page=0x0000ffff9001f000 child_page=0x0000ffff9001f000 same_va=yes
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	       107	   63
  1	          64	       275	   62
  2	         128	       280	   62
  3	         192	       277	   62
  4	         256	       281	   62
  5	         320	       122	   63
  6	         384	       274	   63
  7	         448	       280	   63
  8	         512	       266	   63
  9	         576	       261	   63
 10	         640	       202	   62
 11	         704	       264	   62
 12	         768	       264	   62
 13	         832	       270	   62
 14	         896	       262	   63
 15	         960	       266	   63
 16	        1024	       273	   63
 17	        1088	       275	   63
 18	        1152	       279	   63
 19	        1216	       280	   62
 20	        1280	       266	   62
 21	        1344	       281	   62
 22	        1408	       286	   62
 23	        1472	       285	   63
 24	        1536	       269	   63
 25	        1600	       266	   63
 26	        1664	       267	   63
 27	        1728	       266	   63
 28	        1792	       265	   62
 29	        1856	       270	   62
 30	        1920	       261	   62
 31	        1984	       269	   62
 32	        2048	       271	   62
 33	        2112	       275	   63
 34	        2176	       266	   63
 35	        2240	       279	   63
 36	        2304	       282	   63
 37	        2368	       276	   62
 38	        2432	       281	   62
 39	        2496	       269	   62
 40	        2560	       272	   62
 41	        2624	       270	   62
 42	        2688	       263	   63
 43	        2752	       263	   63
 44	        2816	       263	   63
 45	        2880	       262	   63
 46	        2944	       266	   62
 47	        3008	       262	   62
 48	        3072	       276	   62
 49	        3136	       276	   62
 50	        3200	       279	   62
 51	        3264	       268	   63
 52	        3328	       279	   63
 53	        3392	       284	   63
 54	        3456	       272	   63
 55	        3520	       281	   62
 56	        3584	       260	   62
 57	        3648	       270	   62
 58	        3712	       268	   62
 59	        3776	       262	   62
 60	        3840	       268	   63
 61	        3904	       268	   63
 62	        3968	       269	   63
 63	        4032	       263	   63
