# arm64 strong cross-process store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# parent trains 2 stores, exec child triggers 1 access(es)
# parent_pid=1289984 child_pid=1289985
# parent_page=0x0000ffffb8064000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=exec_child_store
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	       111	   63
  1	          64	       245	   62
  2	         128	       246	   62
  3	         192	       250	   62
  4	         256	       254	   62
  5	         320	       105	   63
  6	         384	       260	   63
  7	         448	       253	   63
  8	         512	       244	   63
  9	         576	       241	   63
 10	         640	       105	   62
 11	         704	       241	   62
 12	         768	       237	   62
 13	         832	       245	   62
 14	         896	       242	   63
 15	         960	       245	   63
 16	        1024	       250	   63
 17	        1088	       246	   63
 18	        1152	       255	   63
 19	        1216	       252	   62
 20	        1280	       254	   62
 21	        1344	       248	   62
 22	        1408	       263	   62
 23	        1472	       258	   63
 24	        1536	       238	   63
 25	        1600	       247	   63
 26	        1664	       236	   63
 27	        1728	       241	   63
 28	        1792	       241	   62
 29	        1856	       249	   62
 30	        1920	       237	   62
 31	        1984	       246	   62
 32	        2048	       244	   62
 33	        2112	       250	   63
 34	        2176	       250	   63
 35	        2240	       250	   63
 36	        2304	       253	   63
 37	        2368	       261	   62
 38	        2432	       258	   62
 39	        2496	       249	   62
 40	        2560	       240	   62
 41	        2624	       243	   62
 42	        2688	       242	   63
 43	        2752	       246	   63
 44	        2816	       247	   63
 45	        2880	       251	   63
 46	        2944	       240	   62
 47	        3008	       246	   62
 48	        3072	       249	   62
 49	        3136	       250	   62
 50	        3200	       254	   62
 51	        3264	       253	   63
 52	        3328	       254	   63
 53	        3392	       255	   63
 54	        3456	       251	   63
 55	        3520	       261	   62
 56	        3584	       241	   62
 57	        3648	       245	   62
 58	        3712	       235	   62
 59	        3776	       248	   62
 60	        3840	       238	   63
 61	        3904	       242	   63
 62	        3968	       246	   63
 63	        4032	       241	   63
