# arm64 strong cross-process store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# parent trains 1 stores, parent triggers 1 access(es)
# parent_pid=29708 child_pid=-1
# parent_page=0x0000e832b9b29000 child_page=0x0000e832b9b29000 same_va=yes
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=same_process
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        45	   63
  1	          64	       137	   62
  2	         128	       134	   62
  3	         192	       135	   62
  4	         256	       134	   62
  5	         320	        44	   63
  6	         384	       130	   63
  7	         448	       137	   63
  8	         512	       150	   63
  9	         576	       141	   63
 10	         640	        53	   62
 11	         704	       133	   62
 12	         768	       141	   62
 13	         832	       135	   62
 14	         896	       135	   63
 15	         960	       137	   63
 16	        1024	       148	   63
 17	        1088	       142	   63
 18	        1152	       137	   63
 19	        1216	       136	   62
 20	        1280	       146	   62
 21	        1344	       138	   62
 22	        1408	       136	   62
 23	        1472	       137	   63
 24	        1536	       140	   63
 25	        1600	       150	   63
 26	        1664	       136	   63
 27	        1728	       138	   63
 28	        1792	       138	   62
 29	        1856	       145	   62
 30	        1920	       136	   62
 31	        1984	       135	   62
 32	        2048	       134	   62
 33	        2112	       135	   63
 34	        2176	       138	   63
 35	        2240	       149	   63
 36	        2304	       137	   63
 37	        2368	       136	   62
 38	        2432	       134	   62
 39	        2496	       143	   62
 40	        2560	       136	   62
 41	        2624	       131	   62
 42	        2688	       141	   63
 43	        2752	       137	   63
 44	        2816	       135	   63
 45	        2880	       137	   63
 46	        2944	       146	   62
 47	        3008	       136	   62
 48	        3072	       134	   62
 49	        3136	       135	   62
 50	        3200	       146	   62
 51	        3264	       138	   63
 52	        3328	       137	   63
 53	        3392	       139	   63
 54	        3456	       149	   63
 55	        3520	       137	   62
 56	        3584	       138	   62
 57	        3648	       135	   62
 58	        3712	       139	   62
 59	        3776	       144	   62
 60	        3840	       136	   63
 61	        3904	       137	   63
 62	        3968	       140	   63
 63	        4032	       150	   63
