# arm64 strong cross-process store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# parent trains 1 stores, parent triggers 1 access(es)
# parent_pid=29716 child_pid=-1
# parent_page=0x0000e3c3ad980000 child_page=0x0000e3c3ad980000 same_va=yes
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        45	   63
  1	          64	       131	   62
  2	         128	       125	   62
  3	         192	       132	   62
  4	         256	       140	   62
  5	         320	       134	   63
  6	         384	       150	   63
  7	         448	       141	   63
  8	         512	       140	   63
  9	         576	       140	   63
 10	         640	       140	   62
 11	         704	       148	   62
 12	         768	       139	   62
 13	         832	       140	   62
 14	         896	       140	   63
 15	         960	       148	   63
 16	        1024	       139	   63
 17	        1088	       137	   63
 18	        1152	       141	   63
 19	        1216	       147	   62
 20	        1280	       137	   62
 21	        1344	       138	   62
 22	        1408	       139	   62
 23	        1472	       149	   63
 24	        1536	       139	   63
 25	        1600	       138	   63
 26	        1664	       146	   63
 27	        1728	       139	   63
 28	        1792	       136	   62
 29	        1856	       134	   62
 30	        1920	       145	   62
 31	        1984	       138	   62
 32	        2048	       148	   62
 33	        2112	       144	   63
 34	        2176	       141	   63
 35	        2240	       141	   63
 36	        2304	       146	   63
 37	        2368	       140	   62
 38	        2432	       139	   62
 39	        2496	       141	   62
 40	        2560	       144	   62
 41	        2624	       149	   62
 42	        2688	       140	   63
 43	        2752	       140	   63
 44	        2816	       140	   63
 45	        2880	       147	   63
 46	        2944	       140	   62
 47	        3008	       140	   62
 48	        3072	       141	   62
 49	        3136	       147	   62
 50	        3200	       138	   62
 51	        3264	       139	   63
 52	        3328	       141	   63
 53	        3392	       147	   63
 54	        3456	       138	   63
 55	        3520	       135	   62
 56	        3584	       145	   62
 57	        3648	       142	   62
 58	        3712	       140	   62
 59	        3776	       140	   62
 60	        3840	       282	   63
 61	        3904	       141	   63
 62	        3968	       139	   63
 63	        4032	       138	   63
