# arm64 strong cross-process store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# parent trains 1 stores, parent_after_process_switch triggers 1 access(es)
# parent_pid=29724 child_pid=29725
# parent_page=0x0000f4613375a000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=process_switch_then_same_process
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        46	   63
  1	          64	       144	   62
  2	         128	       133	   62
  3	         192	       142	   62
  4	         256	       140	   62
  5	         320	        46	   63
  6	         384	       143	   63
  7	         448	       131	   63
  8	         512	       150	   63
  9	         576	       145	   63
 10	         640	        48	   62
 11	         704	       141	   62
 12	         768	       169	   62
 13	         832	       140	   62
 14	         896	       141	   63
 15	         960	       141	   63
 16	        1024	       145	   63
 17	        1088	       141	   63
 18	        1152	       136	   63
 19	        1216	       137	   62
 20	        1280	       144	   62
 21	        1344	       137	   62
 22	        1408	       138	   62
 23	        1472	       135	   63
 24	        1536	       138	   63
 25	        1600	       145	   63
 26	        1664	       138	   63
 27	        1728	       137	   63
 28	        1792	       137	   62
 29	        1856	       145	   62
 30	        1920	       137	   62
 31	        1984	       133	   62
 32	        2048	       139	   62
 33	        2112	       140	   63
 34	        2176	       142	   63
 35	        2240	       150	   63
 36	        2304	       140	   63
 37	        2368	       136	   62
 38	        2432	       140	   62
 39	        2496	       150	   62
 40	        2560	       139	   62
 41	        2624	       139	   62
 42	        2688	       150	   63
 43	        2752	       142	   63
 44	        2816	       138	   63
 45	        2880	       137	   63
 46	        2944	       149	   62
 47	        3008	       138	   62
 48	        3072	       137	   62
 49	        3136	       136	   62
 50	        3200	       147	   62
 51	        3264	       138	   63
 52	        3328	       139	   63
 53	        3392	       139	   63
 54	        3456	       148	   63
 55	        3520	       136	   62
 56	        3584	       136	   62
 57	        3648	       141	   62
 58	        3712	       132	   62
 59	        3776	       144	   62
 60	        3840	       138	   63
 61	        3904	       137	   63
 62	        3968	       137	   63
 63	        4032	       139	   63
