# arm64 strong cross-process store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# parent trains 1 stores, exec child triggers 1 access(es)
# parent_pid=29733 child_pid=29734
# parent_page=0x0000f11978dcf000 child_page=0x0000000700000000 same_va=no
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=exec_child_store
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        47	   63
  1	          64	       199	   62
  2	         128	       208	   62
  3	         192	       203	   62
  4	         256	       208	   62
  5	         320	        53	   63
  6	         384	       198	   63
  7	         448	       199	   63
  8	         512	       179	   63
  9	         576	       186	   63
 10	         640	       213	   62
 11	         704	       198	   62
 12	         768	       195	   62
 13	         832	       205	   62
 14	         896	       218	   63
 15	         960	       198	   63
 16	        1024	       189	   63
 17	        1088	       191	   63
 18	        1152	       206	   63
 19	        1216	       199	   62
 20	        1280	       209	   62
 21	        1344	       199	   62
 22	        1408	       243	   62
 23	        1472	       213	   63
 24	        1536	       197	   63
 25	        1600	       200	   63
 26	        1664	       198	   63
 27	        1728	       195	   63
 28	        1792	       200	   62
 29	        1856	       197	   62
 30	        1920	       208	   62
 31	        1984	       213	   62
 32	        2048	       210	   62
 33	        2112	       203	   63
 34	        2176	       189	   63
 35	        2240	       183	   63
 36	        2304	       201	   63
 37	        2368	       199	   62
 38	        2432	       210	   62
 39	        2496	       195	   62
 40	        2560	       211	   62
 41	        2624	       204	   62
 42	        2688	       203	   63
 43	        2752	       173	   63
 44	        2816	       236	   63
 45	        2880	       190	   63
 46	        2944	       204	   62
 47	        3008	       188	   62
 48	        3072	       196	   62
 49	        3136	       195	   62
 50	        3200	       213	   62
 51	        3264	       199	   63
 52	        3328	       200	   63
 53	        3392	       204	   63
 54	        3456	       178	   63
 55	        3520	       191	   62
 56	        3584	       205	   62
 57	        3648	       203	   62
 58	        3712	       198	   62
 59	        3776	       220	   62
 60	        3840	       197	   63
 61	        3904	       205	   63
 62	        3968	       196	   63
 63	        4032	       195	   63
