# arm64 cross-thread store-stride retention test
# thread0 trains 3 stores, thread1 triggers access 3
# shared_page=0x00007fff13a00000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=thread1_context_switch_then_thread0
# position	offset_bytes	avg_ns	probes
  0	           0	        77	   63
  1	          64	       213	   63
  2	         128	       227	   63
  3	         192	       215	   63
  4	         256	       214	   63
  5	         320	        78	   63
  6	         384	       217	   63
  7	         448	       247	   63
  8	         512	      1741	   63
  9	         576	       166	   63
 10	         640	        73	   63
 11	         704	       202	   63
 12	         768	       213	   63
 13	         832	       219	   63
 14	         896	       233	   63
 15	         960	        75	   63
 16	        1024	       232	   63
 17	        1088	       238	   63
 18	        1152	       252	   63
 19	        1216	       239	   63
 20	        1280	       229	   63
 21	        1344	       225	   63
 22	        1408	       245	   63
 23	        1472	       214	   63
 24	        1536	       233	   63
 25	        1600	       221	   63
 26	        1664	       237	   63
 27	        1728	       221	   63
 28	        1792	       160	   63
 29	        1856	       180	   63
 30	        1920	       212	   63
 31	        1984	       222	   63
 32	        2048	       227	   62
 33	        2112	       243	   62
 34	        2176	       225	   62
 35	        2240	       230	   62
 36	        2304	       252	   62
 37	        2368	       247	   62
 38	        2432	       247	   62
 39	        2496	       238	   62
 40	        2560	       248	   62
 41	        2624	       234	   62
 42	        2688	       253	   62
 43	        2752	       229	   62
 44	        2816	       235	   62
 45	        2880	       247	   62
 46	        2944	       216	   62
 47	        3008	       138	   62
 48	        3072	       193	   62
 49	        3136	       213	   62
 50	        3200	       205	   62
 51	        3264	       227	   62
 52	        3328	       243	   62
 53	        3392	       230	   62
 54	        3456	       230	   62
 55	        3520	       233	   62
 56	        3584	       226	   62
 57	        3648	       423	   62
 58	        3712	       226	   62
 59	        3776	       234	   62
 60	        3840	       225	   62
 61	        3904	       229	   62
 62	        3968	       210	   62
 63	        4032	       205	   62
