# arm64 cross-thread store-stride retention test
# thread0 trains 3 stores, thread1 triggers access 3
# shared_page=0x00007fff98934000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        70	   63
  1	          64	       204	   63
  2	         128	       205	   63
  3	         192	       205	   63
  4	         256	       200	   63
  5	         320	        69	   63
  6	         384	       187	   63
  7	         448	       269	   63
  8	         512	       224	   63
  9	         576	       206	   63
 10	         640	        68	   63
 11	         704	       186	   63
 12	         768	       168	   63
 13	         832	       186	   63
 14	         896	       188	   63
 15	         960	       200	   63
 16	        1024	       183	   63
 17	        1088	       174	   63
 18	        1152	       195	   63
 19	        1216	       188	   63
 20	        1280	       186	   63
 21	        1344	       178	   63
 22	        1408	       194	   63
 23	        1472	       176	   63
 24	        1536	       168	   63
 25	        1600	       154	   63
 26	        1664	       170	   63
 27	        1728	       170	   63
 28	        1792	       189	   63
 29	        1856	       182	   63
 30	        1920	       174	   63
 31	        1984	       177	   63
 32	        2048	       175	   62
 33	        2112	       187	   62
 34	        2176	       176	   62
 35	        2240	       195	   62
 36	        2304	       195	   62
 37	        2368	       156	   62
 38	        2432	       186	   62
 39	        2496	       176	   62
 40	        2560	       192	   62
 41	        2624	       184	   62
 42	        2688	       176	   62
 43	        2752	       186	   62
 44	        2816	       199	   62
 45	        2880	       190	   62
 46	        2944	       176	   62
 47	        3008	       167	   62
 48	        3072	       263	   62
 49	        3136	       184	   62
 50	        3200	       174	   62
 51	        3264	       182	   62
 52	        3328	       172	   62
 53	        3392	       178	   62
 54	        3456	       176	   62
 55	        3520	       198	   62
 56	        3584	       202	   62
 57	        3648	       165	   62
 58	        3712	       186	   62
 59	        3776	       174	   62
 60	        3840	       202	   62
 61	        3904	       191	   62
 62	        3968	       184	   62
 63	        4032	       191	   62
