# arm64 cross-thread store-stride retention test
# thread0 trains 3 stores, thread1 triggers access 3
# shared_page=0x00007fff7cf54000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=15 predicted_line=20 access=store pc=noinline_same_pc_per_process
# trigger=thread1
# position	offset_bytes	avg_ns	probes
  0	           0	        77	   63
  1	          64	       208	   63
  2	         128	       226	   63
  3	         192	       222	   63
  4	         256	       217	   63
  5	         320	        83	   63
  6	         384	       200	   63
  7	         448	       209	   63
  8	         512	       214	   63
  9	         576	       110	   63
 10	         640	        73	   63
 11	         704	       196	   63
 12	         768	       196	   63
 13	         832	       198	   63
 14	         896	       216	   63
 15	         960	        78	   63
 16	        1024	       210	   63
 17	        1088	       213	   63
 18	        1152	       201	   63
 19	        1216	       206	   63
 20	        1280	       212	   63
 21	        1344	       194	   63
 22	        1408	       189	   63
 23	        1472	       201	   63
 24	        1536	       213	   63
 25	        1600	       218	   63
 26	        1664	       203	   63
 27	        1728	       207	   63
 28	        1792	       171	   63
 29	        1856	       150	   63
 30	        1920	       197	   63
 31	        1984	       185	   63
 32	        2048	       196	   62
 33	        2112	       192	   62
 34	        2176	       209	   62
 35	        2240	       207	   62
 36	        2304	       205	   62
 37	        2368	       205	   62
 38	        2432	       201	   62
 39	        2496	       220	   62
 40	        2560	       199	   62
 41	        2624	       198	   62
 42	        2688	       221	   62
 43	        2752	       233	   62
 44	        2816	       225	   62
 45	        2880	       222	   62
 46	        2944	       213	   62
 47	        3008	       193	   62
 48	        3072	       170	   62
 49	        3136	       195	   62
 50	        3200	       217	   62
 51	        3264	       205	   62
 52	        3328	       206	   62
 53	        3392	       221	   62
 54	        3456	       194	   62
 55	        3520	       205	   62
 56	        3584	       216	   62
 57	        3648	       210	   62
 58	        3712	       186	   62
 59	        3776	       195	   62
 60	        3840	       205	   62
 61	        3904	       223	   62
 62	        3968	       199	   62
 63	        4032	       194	   62
