# arm64 cross-thread store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# thread0 trains 2 stores, trigger_accesses=1
# shared_page=0x0000ffffb5752000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=thread0
# position	offset_bytes	avg_ns	probes
  0	           0	       207	   63
  1	          64	       375	   62
  2	         128	       380	   62
  3	         192	       372	   62
  4	         256	       383	   62
  5	         320	       207	   63
  6	         384	       385	   63
  7	         448	       383	   63
  8	         512	       366	   63
  9	         576	       368	   63
 10	         640	       203	   62
 11	         704	       372	   62
 12	         768	       364	   62
 13	         832	       372	   62
 14	         896	       371	   63
 15	         960	       329	   63
 16	        1024	       376	   63
 17	        1088	       372	   63
 18	        1152	       385	   63
 19	        1216	       377	   62
 20	        1280	       606	   62
 21	        1344	       390	   62
 22	        1408	       383	   62
 23	        1472	       380	   63
 24	        1536	       372	   63
 25	        1600	       351	   63
 26	        1664	       371	   63
 27	        1728	       377	   63
 28	        1792	       369	   62
 29	        1856	       370	   62
 30	        1920	       371	   62
 31	        1984	       373	   62
 32	        2048	       380	   62
 33	        2112	       377	   63
 34	        2176	       378	   63
 35	        2240	       378	   63
 36	        2304	       377	   63
 37	        2368	       383	   62
 38	        2432	       393	   62
 39	        2496	       387	   62
 40	        2560	       365	   62
 41	        2624	       368	   62
 42	        2688	       369	   63
 43	        2752	       371	   63
 44	        2816	       373	   63
 45	        2880	       377	   63
 46	        2944	       364	   62
 47	        3008	       377	   62
 48	        3072	       379	   62
 49	        3136	       374	   62
 50	        3200	       374	   62
 51	        3264	       377	   63
 52	        3328	       389	   63
 53	        3392	       390	   63
 54	        3456	       377	   63
 55	        3520	       385	   62
 56	        3584	       366	   62
 57	        3648	       375	   62
 58	        3712	       367	   62
 59	        3776	       367	   62
 60	        3840	       367	   63
 61	        3904	       373	   63
 62	        3968	       369	   63
 63	        4032	       370	   63
