# arm64 cross-thread store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# thread0 trains 2 stores, trigger_accesses=1
# shared_page=0x0000ffff81965000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	       139	   63
  1	          64	       280	   62
  2	         128	       288	   62
  3	         192	       290	   62
  4	         256	       294	   62
  5	         320	       127	   63
  6	         384	       299	   63
  7	         448	       296	   63
  8	         512	       283	   63
  9	         576	       283	   63
 10	         640	       280	   62
 11	         704	       276	   62
 12	         768	       281	   62
 13	         832	       290	   62
 14	         896	       284	   63
 15	         960	       289	   63
 16	        1024	       294	   63
 17	        1088	       292	   63
 18	        1152	       290	   63
 19	        1216	       284	   62
 20	        1280	       683	   62
 21	        1344	       295	   62
 22	        1408	       295	   62
 23	        1472	       291	   63
 24	        1536	       284	   63
 25	        1600	       283	   63
 26	        1664	       278	   63
 27	        1728	       284	   63
 28	        1792	       276	   62
 29	        1856	       272	   62
 30	        1920	       279	   62
 31	        1984	       292	   62
 32	        2048	       298	   62
 33	        2112	       295	   63
 34	        2176	       284	   63
 35	        2240	       285	   63
 36	        2304	       291	   63
 37	        2368	       281	   62
 38	        2432	       290	   62
 39	        2496	       302	   62
 40	        2560	       277	   62
 41	        2624	       289	   62
 42	        2688	       278	   63
 43	        2752	       277	   63
 44	        2816	       282	   63
 45	        2880	       285	   63
 46	        2944	       285	   62
 47	        3008	       286	   62
 48	        3072	       296	   62
 49	        3136	       294	   62
 50	        3200	       289	   62
 51	        3264	       290	   63
 52	        3328	       290	   63
 53	        3392	       302	   63
 54	        3456	       296	   63
 55	        3520	       282	   62
 56	        3584	       280	   62
 57	        3648	       277	   62
 58	        3712	       285	   62
 59	        3776	       273	   62
 60	        3840	       278	   63
 61	        3904	       285	   63
 62	        3968	       275	   63
 63	        4032	       289	   63
