# arm64 cross-thread store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# thread0 trains 2 stores, trigger_accesses=1
# shared_page=0x0000ffff9c27b000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=thread1_context_switch_then_thread0
# position	offset_bytes	avg_ns	probes
  0	           0	        98	   63
  1	          64	       234	   62
  2	         128	       235	   62
  3	         192	       236	   62
  4	         256	       234	   62
  5	         320	        92	   63
  6	         384	       241	   63
  7	         448	       250	   63
  8	         512	       230	   63
  9	         576	       238	   63
 10	         640	        91	   62
 11	         704	       225	   62
 12	         768	       223	   62
 13	         832	       228	   62
 14	         896	       223	   63
 15	         960	       224	   63
 16	        1024	       240	   63
 17	        1088	       250	   63
 18	        1152	       242	   63
 19	        1216	       238	   62
 20	        1280	       245	   62
 21	        1344	       248	   62
 22	        1408	       238	   62
 23	        1472	       241	   63
 24	        1536	       234	   63
 25	        1600	       239	   63
 26	        1664	       238	   63
 27	        1728	       234	   63
 28	        1792	       225	   62
 29	        1856	       230	   62
 30	        1920	       228	   62
 31	        1984	       234	   62
 32	        2048	       240	   62
 33	        2112	       239	   63
 34	        2176	       244	   63
 35	        2240	       241	   63
 36	        2304	       241	   63
 37	        2368	       234	   62
 38	        2432	       235	   62
 39	        2496	       243	   62
 40	        2560	       231	   62
 41	        2624	       239	   62
 42	        2688	       233	   63
 43	        2752	       238	   63
 44	        2816	       228	   63
 45	        2880	       230	   63
 46	        2944	       229	   62
 47	        3008	       225	   62
 48	        3072	       238	   62
 49	        3136	       236	   62
 50	        3200	       239	   62
 51	        3264	       235	   63
 52	        3328	       246	   63
 53	        3392	       244	   63
 54	        3456	       241	   63
 55	        3520	       243	   62
 56	        3584	       232	   62
 57	        3648	       230	   62
 58	        3712	       229	   62
 59	        3776	       228	   62
 60	        3840	       232	   63
 61	        3904	       233	   63
 62	        3968	       225	   63
 63	        4032	       234	   63
