# arm64 cross-thread store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# thread0 trains 2 stores, trigger_accesses=1
# shared_page=0x0000ffff8da52000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=thread1
# position	offset_bytes	avg_ns	probes
  0	           0	        97	   63
  1	          64	       243	   62
  2	         128	       244	   62
  3	         192	       234	   62
  4	         256	       249	   62
  5	         320	        87	   63
  6	         384	       244	   63
  7	         448	       247	   63
  8	         512	       236	   63
  9	         576	       231	   63
 10	         640	        93	   62
 11	         704	       228	   62
 12	         768	       234	   62
 13	         832	       235	   62
 14	         896	       231	   63
 15	         960	       232	   63
 16	        1024	       239	   63
 17	        1088	       247	   63
 18	        1152	       249	   63
 19	        1216	       246	   62
 20	        1280	       244	   62
 21	        1344	       244	   62
 22	        1408	       251	   62
 23	        1472	       253	   63
 24	        1536	       235	   63
 25	        1600	       233	   63
 26	        1664	       236	   63
 27	        1728	       235	   63
 28	        1792	       228	   62
 29	        1856	       229	   62
 30	        1920	       231	   62
 31	        1984	       234	   62
 32	        2048	       241	   62
 33	        2112	       242	   63
 34	        2176	       249	   63
 35	        2240	       355	   63
 36	        2304	       247	   63
 37	        2368	       256	   62
 38	        2432	       248	   62
 39	        2496	       248	   62
 40	        2560	       235	   62
 41	        2624	       239	   62
 42	        2688	       236	   63
 43	        2752	       227	   63
 44	        2816	       233	   63
 45	        2880	       234	   63
 46	        2944	       233	   62
 47	        3008	       232	   62
 48	        3072	       243	   62
 49	        3136	       239	   62
 50	        3200	       243	   62
 51	        3264	       245	   63
 52	        3328	       244	   63
 53	        3392	       245	   63
 54	        3456	       240	   63
 55	        3520	       248	   62
 56	        3584	       234	   62
 57	        3648	       237	   62
 58	        3712	       235	   62
 59	        3776	       229	   62
 60	        3840	       234	   63
 61	        3904	       233	   63
 62	        3968	       225	   63
 63	        4032	       235	   63
