# arm64 cross-thread store-stride retention test
# accesses=3 train_only_accesses=2 trigger_accesses=1
# thread0 trains 2 stores, trigger_accesses=1
# shared_page=0x0000ffffa20a4000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 access=store pc=noinline_same_pc_per_process
# trigger=thread1_context_switch_no_trigger
# position	offset_bytes	avg_ns	probes
  0	           0	       109	   63
  1	          64	       244	   62
  2	         128	       243	   62
  3	         192	       254	   62
  4	         256	       246	   62
  5	         320	        96	   63
  6	         384	       247	   63
  7	         448	       253	   63
  8	         512	       246	   63
  9	         576	       244	   63
 10	         640	       215	   62
 11	         704	       235	   62
 12	         768	       234	   62
 13	         832	       240	   62
 14	         896	       233	   63
 15	         960	       234	   63
 16	        1024	       250	   63
 17	        1088	       250	   63
 18	        1152	       246	   63
 19	        1216	       249	   62
 20	        1280	       248	   62
 21	        1344	       255	   62
 22	        1408	       245	   62
 23	        1472	       250	   63
 24	        1536	       242	   63
 25	        1600	       239	   63
 26	        1664	       244	   63
 27	        1728	       252	   63
 28	        1792	       236	   62
 29	        1856	       233	   62
 30	        1920	       239	   62
 31	        1984	       239	   62
 32	        2048	       250	   62
 33	        2112	       247	   63
 34	        2176	       251	   63
 35	        2240	       247	   63
 36	        2304	       253	   63
 37	        2368	       244	   62
 38	        2432	       246	   62
 39	        2496	       251	   62
 40	        2560	       238	   62
 41	        2624	       240	   62
 42	        2688	       235	   63
 43	        2752	       240	   63
 44	        2816	       249	   63
 45	        2880	       247	   63
 46	        2944	       235	   62
 47	        3008	       236	   62
 48	        3072	       239	   62
 49	        3136	       244	   62
 50	        3200	       251	   62
 51	        3264	       239	   63
 52	        3328	       262	   63
 53	        3392	       253	   63
 54	        3456	       262	   63
 55	        3520	       251	   62
 56	        3584	       240	   62
 57	        3648	       238	   62
 58	        3712	       234	   62
 59	        3776	       239	   62
 60	        3840	       238	   63
 61	        3904	       240	   63
 62	        3968	       251	   63
 63	        4032	       255	   63
