# arm64 cross-thread store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# thread0 trains 1 stores, trigger_accesses=1
# shared_page=0x0000fbd0fd6c1000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=thread0
# position	offset_bytes	avg_ns	probes
  0	           0	        45	   63
  1	          64	       136	   62
  2	         128	       137	   62
  3	         192	       147	   62
  4	         256	       137	   62
  5	         320	        45	   63
  6	         384	       138	   63
  7	         448	       141	   63
  8	         512	       137	   63
  9	         576	       137	   63
 10	         640	        54	   62
 11	         704	       138	   62
 12	         768	       139	   62
 13	         832	       137	   62
 14	         896	       147	   63
 15	         960	       137	   63
 16	        1024	       133	   63
 17	        1088	       134	   63
 18	        1152	       146	   63
 19	        1216	       136	   62
 20	        1280	       136	   62
 21	        1344	       136	   62
 22	        1408	       146	   62
 23	        1472	       136	   63
 24	        1536	       134	   63
 25	        1600	       135	   63
 26	        1664	       134	   63
 27	        1728	       140	   63
 28	        1792	       133	   62
 29	        1856	       134	   62
 30	        1920	       140	   62
 31	        1984	       142	   62
 32	        2048	       138	   62
 33	        2112	       146	   63
 34	        2176	       137	   63
 35	        2240	       135	   63
 36	        2304	       141	   63
 37	        2368	       148	   62
 38	        2432	       138	   62
 39	        2496	       137	   62
 40	        2560	       148	   62
 41	        2624	       138	   62
 42	        2688	       138	   63
 43	        2752	       137	   63
 44	        2816	       142	   63
 45	        2880	       138	   63
 46	        2944	       136	   62
 47	        3008	       139	   62
 48	        3072	       143	   62
 49	        3136	       135	   62
 50	        3200	       134	   62
 51	        3264	       135	   63
 52	        3328	       145	   63
 53	        3392	       137	   63
 54	        3456	       134	   63
 55	        3520	       134	   62
 56	        3584	       136	   62
 57	        3648	       146	   62
 58	        3712	       136	   62
 59	        3776	       134	   62
 60	        3840	       137	   63
 61	        3904	       146	   63
 62	        3968	       135	   63
 63	        4032	       135	   63
