# arm64 cross-thread store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# thread0 trains 1 stores, trigger_accesses=1
# shared_page=0x0000e421a7345000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        43	   63
  1	          64	       148	   62
  2	         128	       139	   62
  3	         192	       140	   62
  4	         256	       141	   62
  5	         320	       149	   63
  6	         384	       140	   63
  7	         448	       138	   63
  8	         512	       148	   63
  9	         576	       140	   63
 10	         640	       138	   62
 11	         704	       140	   62
 12	         768	       146	   62
 13	         832	       140	   62
 14	         896	       140	   63
 15	         960	       136	   63
 16	        1024	       146	   63
 17	        1088	       136	   63
 18	        1152	       136	   63
 19	        1216	       139	   62
 20	        1280	       149	   62
 21	        1344	       140	   62
 22	        1408	       137	   62
 23	        1472	       137	   63
 24	        1536	       139	   63
 25	        1600	       146	   63
 26	        1664	       137	   63
 27	        1728	       136	   63
 28	        1792	       138	   62
 29	        1856	       144	   62
 30	        1920	       136	   62
 31	        1984	       137	   62
 32	        2048	       140	   62
 33	        2112	       137	   63
 34	        2176	       137	   63
 35	        2240	       147	   63
 36	        2304	       141	   63
 37	        2368	       143	   62
 38	        2432	       140	   62
 39	        2496	       148	   62
 40	        2560	       140	   62
 41	        2624	       140	   62
 42	        2688	       144	   63
 43	        2752	       138	   63
 44	        2816	       140	   63
 45	        2880	       141	   63
 46	        2944	       148	   62
 47	        3008	       140	   62
 48	        3072	       140	   62
 49	        3136	       139	   62
 50	        3200	       148	   62
 51	        3264	       136	   63
 52	        3328	       140	   63
 53	        3392	       139	   63
 54	        3456	       147	   63
 55	        3520	       138	   62
 56	        3584	       140	   62
 57	        3648	       140	   62
 58	        3712	       136	   62
 59	        3776	       143	   62
 60	        3840	       139	   63
 61	        3904	       140	   63
 62	        3968	       136	   63
 63	        4032	       146	   63
