# arm64 cross-thread store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# thread0 trains 1 stores, trigger_accesses=1
# shared_page=0x0000f859d1b7c000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=thread1_context_switch_then_thread0
# position	offset_bytes	avg_ns	probes
  0	           0	        49	   63
  1	          64	       137	   62
  2	         128	       147	   62
  3	         192	       136	   62
  4	         256	       137	   62
  5	         320	        45	   63
  6	         384	       141	   63
  7	         448	       136	   63
  8	         512	       132	   63
  9	         576	       137	   63
 10	         640	        86	   62
 11	         704	       145	   62
 12	         768	       137	   62
 13	         832	       136	   62
 14	         896	       138	   63
 15	         960	       145	   63
 16	        1024	       139	   63
 17	        1088	       137	   63
 18	        1152	       138	   63
 19	        1216	       145	   62
 20	        1280	       138	   62
 21	        1344	       140	   62
 22	        1408	       138	   62
 23	        1472	       145	   63
 24	        1536	       138	   63
 25	        1600	       138	   63
 26	        1664	       145	   63
 27	        1728	       138	   63
 28	        1792	       140	   62
 29	        1856	       141	   62
 30	        1920	       145	   62
 31	        1984	       138	   62
 32	        2048	       142	   62
 33	        2112	       139	   63
 34	        2176	       136	   63
 35	        2240	       135	   63
 36	        2304	       147	   63
 37	        2368	       138	   62
 38	        2432	       139	   62
 39	        2496	       138	   62
 40	        2560	       134	   62
 41	        2624	       144	   62
 42	        2688	       137	   63
 43	        2752	       137	   63
 44	        2816	       137	   63
 45	        2880	       140	   63
 46	        2944	       136	   62
 47	        3008	       162	   62
 48	        3072	       137	   62
 49	        3136	       139	   62
 50	        3200	       139	   62
 51	        3264	       139	   63
 52	        3328	       138	   63
 53	        3392	       141	   63
 54	        3456	       137	   63
 55	        3520	       140	   62
 56	        3584	       146	   62
 57	        3648	       141	   62
 58	        3712	       138	   62
 59	        3776	       136	   62
 60	        3840	       146	   63
 61	        3904	       139	   63
 62	        3968	       138	   63
 63	        4032	       136	   63
