# arm64 cross-thread store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# thread0 trains 1 stores, trigger_accesses=1
# shared_page=0x0000fc2e8935d000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=thread1
# position	offset_bytes	avg_ns	probes
  0	           0	        48	   63
  1	          64	       236	   62
  2	         128	       238	   62
  3	         192	       245	   62
  4	         256	       240	   62
  5	         320	        45	   63
  6	         384	       236	   63
  7	         448	       227	   63
  8	         512	       230	   63
  9	         576	       228	   63
 10	         640	       211	   62
 11	         704	       234	   62
 12	         768	       239	   62
 13	         832	       246	   62
 14	         896	       226	   63
 15	         960	       227	   63
 16	        1024	       237	   63
 17	        1088	       229	   63
 18	        1152	       224	   63
 19	        1216	       223	   62
 20	        1280	       230	   62
 21	        1344	       242	   62
 22	        1408	       244	   62
 23	        1472	       227	   63
 24	        1536	       237	   63
 25	        1600	       234	   63
 26	        1664	       229	   63
 27	        1728	       228	   63
 28	        1792	       235	   62
 29	        1856	       234	   62
 30	        1920	       226	   62
 31	        1984	       242	   62
 32	        2048	       227	   62
 33	        2112	       237	   63
 34	        2176	       242	   63
 35	        2240	       225	   63
 36	        2304	       218	   63
 37	        2368	       245	   62
 38	        2432	       238	   62
 39	        2496	       235	   62
 40	        2560	       241	   62
 41	        2624	       234	   62
 42	        2688	       236	   63
 43	        2752	       236	   63
 44	        2816	       227	   63
 45	        2880	       227	   63
 46	        2944	       250	   62
 47	        3008	       242	   62
 48	        3072	       235	   62
 49	        3136	       246	   62
 50	        3200	       231	   62
 51	        3264	       242	   63
 52	        3328	       243	   63
 53	        3392	       226	   63
 54	        3456	       236	   63
 55	        3520	       230	   62
 56	        3584	       232	   62
 57	        3648	       233	   62
 58	        3712	       241	   62
 59	        3776	       232	   62
 60	        3840	       226	   63
 61	        3904	       244	   63
 62	        3968	       238	   63
 63	        4032	       234	   63
