# arm64 cross-thread store-stride retention test
# accesses=2 train_only_accesses=1 trigger_accesses=1
# thread0 trains 1 stores, trigger_accesses=1
# shared_page=0x0000e5eed36c5000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=5..5 predicted_line=10 access=store pc=noinline_same_pc_per_process
# trigger=thread1_context_switch_no_trigger
# position	offset_bytes	avg_ns	probes
  0	           0	        44	   63
  1	          64	       217	   62
  2	         128	       230	   62
  3	         192	       189	   62
  4	         256	       208	   62
  5	         320	       210	   63
  6	         384	       204	   63
  7	         448	       212	   63
  8	         512	       236	   63
  9	         576	       224	   63
 10	         640	       212	   62
 11	         704	       220	   62
 12	         768	       219	   62
 13	         832	       211	   62
 14	         896	       205	   63
 15	         960	       211	   63
 16	        1024	       220	   63
 17	        1088	       216	   63
 18	        1152	       225	   63
 19	        1216	       215	   62
 20	        1280	       234	   62
 21	        1344	       215	   62
 22	        1408	       214	   62
 23	        1472	       197	   63
 24	        1536	       215	   63
 25	        1600	       220	   63
 26	        1664	       210	   63
 27	        1728	       211	   63
 28	        1792	       217	   62
 29	        1856	       225	   62
 30	        1920	       211	   62
 31	        1984	       209	   62
 32	        2048	       208	   62
 33	        2112	       211	   63
 34	        2176	       208	   63
 35	        2240	       208	   63
 36	        2304	       214	   63
 37	        2368	       224	   62
 38	        2432	       217	   62
 39	        2496	       216	   62
 40	        2560	       206	   62
 41	        2624	       209	   62
 42	        2688	       210	   63
 43	        2752	       206	   63
 44	        2816	       211	   63
 45	        2880	       229	   63
 46	        2944	       222	   62
 47	        3008	       226	   62
 48	        3072	       216	   62
 49	        3136	       210	   62
 50	        3200	       206	   62
 51	        3264	       200	   63
 52	        3328	       203	   63
 53	        3392	       211	   63
 54	        3456	       229	   63
 55	        3520	       219	   62
 56	        3584	       215	   62
 57	        3648	       219	   62
 58	        3712	       211	   62
 59	        3776	       218	   62
 60	        3840	       197	   63
 61	        3904	       205	   63
 62	        3968	       209	   63
 63	        4032	       220	   63
