# tee_impl_id=1 tee_impl_caps=0x1 tee_gen_caps=0xd
# arm64 Normal/Secure TrustZone stride retention test
# training_mode=normal_world_train_normal_world_trigger_no_secure_switch accesses=3 train_only_accesses=2 trigger_accesses=1 access=store
# tee_device=/dev/tee0 shared_page=0x0000ffff933c1000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 train_pc=normal_world_store_noinline_same_pc
# trigger=normal_world_store_without_secure_switch
# no_trigger_command=not_applicable
# position	offset_bytes	avg_ns	probes
  0	           0	       119	   63
  1	          64	       266	   63
  2	         128	       271	   63
  3	         192	       269	   63
  4	         256	       274	   63
  5	         320	       120	   63
  6	         384	       278	   63
  7	         448	       280	   63
  8	         512	       263	   63
  9	         576	       267	   63
 10	         640	       125	   63
 11	         704	       266	   63
 12	         768	       267	   63
 13	         832	       257	   63
 14	         896	       263	   63
 15	         960	       122	   63
 16	        1024	       268	   63
 17	        1088	       275	   63
 18	        1152	       266	   63
 19	        1216	       266	   63
 20	        1280	       133	   63
 21	        1344	       274	   63
 22	        1408	       278	   63
 23	        1472	       285	   63
 24	        1536	       261	   63
 25	        1600	       130	   63
 26	        1664	       264	   63
 27	        1728	       261	   63
 28	        1792	       258	   63
 29	        1856	       263	   63
 30	        1920	       258	   63
 31	        1984	       261	   63
 32	        2048	       269	   62
 33	        2112	       261	   62
 34	        2176	       267	   62
 35	        2240	       269	   62
 36	        2304	       275	   62
 37	        2368	       271	   62
 38	        2432	       275	   62
 39	        2496	       280	   62
 40	        2560	       266	   62
 41	        2624	       264	   62
 42	        2688	       267	   62
 43	        2752	       256	   62
 44	        2816	       258	   62
 45	        2880	       265	   62
 46	        2944	       260	   62
 47	        3008	       262	   62
 48	        3072	       270	   62
 49	        3136	       266	   62
 50	        3200	       265	   62
 51	        3264	       270	   62
 52	        3328	       276	   62
 53	        3392	       276	   62
 54	        3456	       271	   62
 55	        3520	       276	   62
 56	        3584	       266	   62
 57	        3648	       265	   62
 58	        3712	       255	   62
 59	        3776	       262	   62
 60	        3840	       263	   62
 61	        3904	       264	   62
 62	        3968	       263	   62
 63	        4032	       260	   62
