# tee_impl_id=1 tee_impl_caps=0x1 tee_gen_caps=0xd
# arm64 Normal/Secure TrustZone stride retention test
# training_mode=normal_world_train_secure_world_trigger accesses=3 train_only_accesses=2 trigger_accesses=1 access=store
# tee_device=/dev/tee0 shared_page=0x0000ffff8cf1d000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 train_pc=normal_world_train_noinline_secure_trigger
# trigger=secure_world_ta_cmd_0
# no_trigger_command=not_applicable
# position	offset_bytes	avg_ns	probes
  0	           0	       116	   63
  1	          64	       246	   63
  2	         128	       239	   63
  3	         192	       251	   63
  4	         256	       253	   63
  5	         320	       102	   63
  6	         384	       255	   63
  7	         448	       253	   63
  8	         512	       238	   63
  9	         576	       241	   63
 10	         640	       114	   63
 11	         704	       239	   63
 12	         768	       235	   63
 13	         832	       245	   63
 14	         896	       235	   63
 15	         960	       233	   63
 16	        1024	       244	   63
 17	        1088	       244	   63
 18	        1152	       244	   63
 19	        1216	       246	   63
 20	        1280	       255	   63
 21	        1344	       249	   63
 22	        1408	       249	   63
 23	        1472	       244	   63
 24	        1536	       235	   63
 25	        1600	       236	   63
 26	        1664	       238	   63
 27	        1728	       234	   63
 28	        1792	       240	   63
 29	        1856	       242	   63
 30	        1920	       244	   63
 31	        1984	       234	   63
 32	        2048	       245	   62
 33	        2112	       244	   62
 34	        2176	       246	   62
 35	        2240	       245	   62
 36	        2304	       250	   62
 37	        2368	       260	   62
 38	        2432	       249	   62
 39	        2496	       253	   62
 40	        2560	       241	   62
 41	        2624	       243	   62
 42	        2688	       239	   62
 43	        2752	       237	   62
 44	        2816	       246	   62
 45	        2880	       243	   62
 46	        2944	       241	   62
 47	        3008	       234	   62
 48	        3072	       250	   62
 49	        3136	       251	   62
 50	        3200	       242	   62
 51	        3264	       245	   62
 52	        3328	       254	   62
 53	        3392	       253	   62
 54	        3456	       253	   62
 55	        3520	       248	   62
 56	        3584	       242	   62
 57	        3648	       233	   62
 58	        3712	       243	   62
 59	        3776	       240	   62
 60	        3840	       244	   62
 61	        3904	       238	   62
 62	        3968	       234	   62
 63	        4032	       229	   62
