# tee_impl_id=1 tee_impl_caps=0x1 tee_gen_caps=0xd
# arm64 Normal/Secure TrustZone stride retention test
# training_mode=normal_world_train_secure_world_trigger accesses=3 train_only_accesses=2 trigger_accesses=1 access=store
# tee_device=/dev/tee0 shared_page=0x0000ffff88b08000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_lines=10..10 predicted_line=15 train_pc=normal_world_train_noinline_secure_trigger
# trigger=disabled_after_secure_noop
# no_trigger_command=normal_train_only
# position	offset_bytes	avg_ns	probes
  0	           0	       104	   63
  1	          64	       251	   63
  2	         128	       251	   63
  3	         192	       252	   63
  4	         256	       251	   63
  5	         320	       105	   63
  6	         384	       256	   63
  7	         448	       250	   63
  8	         512	       247	   63
  9	         576	       244	   63
 10	         640	       241	   63
 11	         704	       244	   63
 12	         768	       240	   63
 13	         832	       246	   63
 14	         896	       245	   63
 15	         960	       241	   63
 16	        1024	       255	   63
 17	        1088	       246	   63
 18	        1152	       250	   63
 19	        1216	       251	   63
 20	        1280	       253	   63
 21	        1344	       260	   63
 22	        1408	       250	   63
 23	        1472	       256	   63
 24	        1536	       247	   63
 25	        1600	       240	   63
 26	        1664	       249	   63
 27	        1728	       249	   63
 28	        1792	       242	   63
 29	        1856	       240	   63
 30	        1920	       241	   63
 31	        1984	       242	   63
 32	        2048	       245	   62
 33	        2112	       245	   62
 34	        2176	       250	   62
 35	        2240	       253	   62
 36	        2304	       250	   62
 37	        2368	       257	   62
 38	        2432	       251	   62
 39	        2496	       256	   62
 40	        2560	       244	   62
 41	        2624	       236	   62
 42	        2688	       246	   62
 43	        2752	       237	   62
 44	        2816	       244	   62
 45	        2880	       245	   62
 46	        2944	       246	   62
 47	        3008	       241	   62
 48	        3072	       244	   62
 49	        3136	       244	   62
 50	        3200	       249	   62
 51	        3264	       248	   62
 52	        3328	       258	   62
 53	        3392	       255	   62
 54	        3456	       255	   62
 55	        3520	       250	   62
 56	        3584	       239	   62
 57	        3648	       237	   62
 58	        3712	       237	   62
 59	        3776	       253	   62
 60	        3840	       237	   62
 61	        3904	       239	   62
 62	        3968	       239	   62
 63	        4032	       245	   62
