# store-stride entry-capacity test
# stride=320 rounds=1000 page_size=4096 store_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# TRAIN_ACCESSES=5 COMPETITOR_ACCESSES=6 max_competitors=512 page_step_pages=2
# victim training lines: 0,5,10,15,20
# victim trigger line: 31
# victim probe/predicted line: 25
# competitor accesses per page: 0,5,10,15,20,25
# lower latency means victim probe line was more likely prefetched
# FENCE_AFTER_EACH_STORE=0
# FLUSH_COMPETITORS_AFTER_TRAIN=0
# no_trigger_n0_latency_ns=190
n	latency_ns
0	115
1	105
2	116
3	109
4	115
5	110
6	112
7	117
8	128
9	118
10	118
11	98
12	85
13	90
14	89
15	90
16	90
17	92
18	91
19	90
20	92
21	93
22	97
23	97
24	99
25	99
26	97
27	98
28	96
29	97
30	98
31	97
32	99
33	100
34	100
35	97
36	100
37	98
38	103
39	103
40	105
41	103
42	106
43	101
44	104
45	105
46	107
47	105
48	100
49	102
50	105
51	104
52	105
53	105
54	109
55	109
56	105
57	108
58	107
59	105
60	104
61	107
62	100
63	98
64	102
65	96
66	107
67	108
68	106
69	106
70	129
71	108
72	107
73	124
74	95
75	106
76	107
77	103
78	99
79	98
80	99
81	98
82	98
83	97
84	98
85	100
86	98
87	96
88	97
89	97
90	98
91	97
92	98
93	100
94	98
95	102
96	96
97	96
98	97
99	101
100	99
101	96
102	98
103	102
104	97
105	97
106	96
107	98
108	99
109	97
110	96
111	100
112	95
113	100
114	97
115	97
116	100
117	99
118	96
119	99
120	96
121	97
122	99
123	98
124	99
125	98
126	96
127	98
128	98
129	100
130	97
131	97
132	98
133	97
134	97
135	97
136	98
137	98
138	99
139	99
140	98
141	99
142	99
143	98
144	99
145	99
146	99
147	97
148	101
149	95
150	100
151	97
152	98
153	115
154	99
155	96
156	99
157	98
158	98
159	99
160	99
161	101
162	96
163	100
164	97
165	98
166	99
167	120
168	101
169	97
170	97
171	96
172	101
173	99
174	100
175	96
176	100
177	102
178	97
179	97
180	98
181	98
182	97
183	96
184	98
185	99
186	100
187	98
188	97
189	98
190	97
191	99
192	98
193	100
194	101
195	98
196	100
197	99
198	98
199	97
200	97
201	99
202	101
203	99
204	101
205	99
206	100
207	99
208	99
209	99
210	100
211	100
212	101
213	97
214	99
215	100
216	100
217	99
218	99
219	100
220	98
221	96
222	97
223	99
224	101
225	98
226	99
227	98
228	96
229	98
230	99
231	99
232	98
233	101
234	98
235	98
236	101
237	99
238	100
239	100
240	97
241	98
242	102
243	98
244	99
245	99
246	100
247	100
248	98
249	102
250	100
251	99
252	98
253	100
254	100
255	99
256	101
257	98
258	101
259	101
260	102
261	100
262	99
263	101
264	120
265	100
266	100
267	100
268	95
269	100
270	101
271	100
272	98
273	101
274	99
275	102
276	99
277	98
278	97
279	100
280	98
281	97
282	97
283	99
284	99
285	99
286	99
287	99
288	98
289	97
290	100
291	120
292	100
293	100
294	99
295	102
296	97
297	100
298	102
299	100
300	100
301	100
302	101
303	101
304	99
305	101
306	100
307	101
308	100
309	103
310	103
311	102
312	102
313	102
314	101
315	104
316	105
317	108
318	104
319	102
320	103
321	104
322	103
323	123
324	106
325	104
326	102
327	106
328	105
329	104
330	105
331	105
332	105
333	103
334	104
335	104
336	104
337	103
338	104
339	105
340	105
341	105
342	103
343	104
344	102
345	105
346	104
347	104
348	103
349	103
350	106
351	107
352	107
353	106
354	126
355	107
356	104
357	104
358	109
359	105
360	108
361	122
362	107
363	106
364	105
365	107
366	105
367	105
368	108
369	109
370	105
371	105
372	104
373	102
374	103
375	105
376	107
377	105
378	103
379	107
380	103
381	109
382	104
383	103
384	103
385	122
386	107
387	107
388	105
389	105
390	109
391	106
392	105
393	106
394	104
395	104
396	105
397	104
398	105
399	105
400	105
401	105
402	105
403	106
404	107
405	107
406	103
407	107
408	107
409	107
410	108
411	106
412	108
413	104
414	108
415	107
416	106
417	108
418	106
419	104
420	106
421	107
422	112
423	108
424	104
425	104
426	108
427	108
428	109
429	107
430	107
431	108
432	109
433	110
434	106
435	108
436	107
437	106
438	109
439	111
440	107
441	105
442	108
443	110
444	107
445	106
446	107
447	105
448	108
449	110
450	107
451	109
452	109
453	108
454	108
455	107
456	110
457	108
458	108
459	106
460	107
461	107
462	109
463	110
464	106
465	109
466	107
467	110
468	109
469	108
470	107
471	105
472	106
473	107
474	108
475	110
476	105
477	108
478	108
479	108
480	110
481	112
482	108
483	110
484	104
485	109
486	106
487	108
488	108
489	110
490	111
491	110
492	104
493	109
494	109
495	108
496	107
497	110
498	109
499	107
500	105
501	110
502	111
503	112
504	108
505	108
506	112
507	110
508	109
509	113
510	109
511	108
512	109
