competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	25	1600	predicted	150	no	120	1000
1	25	1600	predicted	191	no	120	1000
2	25	1600	predicted	186	no	120	1000
3	25	1600	predicted	191	no	120	1000
4	25	1600	predicted	178	no	120	1000
5	25	1600	predicted	160	no	120	1000
6	25	1600	predicted	140	no	120	1000
7	25	1600	predicted	103	yes	120	1000
8	25	1600	predicted	76	yes	120	1000
9	25	1600	predicted	75	yes	120	1000
10	25	1600	predicted	74	yes	120	1000
11	25	1600	predicted	76	yes	120	1000
12	25	1600	predicted	75	yes	120	1000
13	25	1600	predicted	77	yes	120	1000
14	25	1600	predicted	77	yes	120	1000
15	25	1600	predicted	75	yes	120	1000
16	25	1600	predicted	77	yes	120	1000
17	25	1600	predicted	76	yes	120	1000
18	25	1600	predicted	77	yes	120	1000
19	25	1600	predicted	76	yes	120	1000
20	25	1600	predicted	76	yes	120	1000
