competitors	latency_ns	victim_prefetched	threshold_ns
0	114	yes	120
1	104	yes	120
2	109	yes	120
3	111	yes	120
4	115	yes	120
5	112	yes	120
6	113	yes	120
7	114	yes	120
8	115	yes	120
9	116	yes	120
10	115	yes	120
11	77	yes	120
12	86	yes	120
13	86	yes	120
14	85	yes	120
15	84	yes	120
16	84	yes	120
17	85	yes	120
18	86	yes	120
19	85	yes	120
20	83	yes	120
21	87	yes	120
22	85	yes	120
23	87	yes	120
24	87	yes	120
25	88	yes	120
26	108	yes	120
27	86	yes	120
28	91	yes	120
29	89	yes	120
30	91	yes	120
31	89	yes	120
32	92	yes	120
33	89	yes	120
34	92	yes	120
35	93	yes	120
36	93	yes	120
37	92	yes	120
38	91	yes	120
39	94	yes	120
40	95	yes	120
41	95	yes	120
42	94	yes	120
43	97	yes	120
44	96	yes	120
45	97	yes	120
46	92	yes	120
47	96	yes	120
48	97	yes	120
49	94	yes	120
50	95	yes	120
51	92	yes	120
52	97	yes	120
53	95	yes	120
54	94	yes	120
55	95	yes	120
56	96	yes	120
57	96	yes	120
58	95	yes	120
59	97	yes	120
60	96	yes	120
61	96	yes	120
62	94	yes	120
63	97	yes	120
64	96	yes	120
65	116	yes	120
66	94	yes	120
67	94	yes	120
68	96	yes	120
69	98	yes	120
70	96	yes	120
71	98	yes	120
72	97	yes	120
73	96	yes	120
74	94	yes	120
75	96	yes	120
76	99	yes	120
77	97	yes	120
78	96	yes	120
79	96	yes	120
80	97	yes	120
81	99	yes	120
82	99	yes	120
83	97	yes	120
84	98	yes	120
85	98	yes	120
86	97	yes	120
87	97	yes	120
88	99	yes	120
89	95	yes	120
90	98	yes	120
91	98	yes	120
92	100	yes	120
93	99	yes	120
94	99	yes	120
95	99	yes	120
96	98	yes	120
97	99	yes	120
98	100	yes	120
99	98	yes	120
100	100	yes	120
101	98	yes	120
102	100	yes	120
103	100	yes	120
104	99	yes	120
105	100	yes	120
106	99	yes	120
107	97	yes	120
108	101	yes	120
109	99	yes	120
110	99	yes	120
111	102	yes	120
112	100	yes	120
113	99	yes	120
114	97	yes	120
115	100	yes	120
116	102	yes	120
117	99	yes	120
118	99	yes	120
119	98	yes	120
120	99	yes	120
121	99	yes	120
122	98	yes	120
123	99	yes	120
124	99	yes	120
125	97	yes	120
126	100	yes	120
127	97	yes	120
128	99	yes	120
129	99	yes	120
130	98	yes	120
131	100	yes	120
132	100	yes	120
133	99	yes	120
134	101	yes	120
135	99	yes	120
136	99	yes	120
137	100	yes	120
138	101	yes	120
139	102	yes	120
140	99	yes	120
141	98	yes	120
142	100	yes	120
143	99	yes	120
144	101	yes	120
145	98	yes	120
