competitors	probe_line	offset_bytes	role	avg_ns	prefetched	threshold_ns	probes
0	15	960	predicted	138	no	110	1000
1	15	960	predicted	163	no	110	1000
2	15	960	predicted	161	no	110	1000
3	15	960	predicted	164	no	110	1000
4	15	960	predicted	160	no	110	1000
5	15	960	predicted	164	no	110	1000
6	15	960	predicted	160	no	110	1000
7	15	960	predicted	158	no	110	1000
8	15	960	predicted	163	no	110	1000
9	15	960	predicted	161	no	110	1000
10	15	960	predicted	154	no	110	1000
11	15	960	predicted	141	no	110	1000
12	15	960	predicted	136	no	110	1000
13	15	960	predicted	138	no	110	1000
14	15	960	predicted	138	no	110	1000
15	15	960	predicted	137	no	110	1000
16	15	960	predicted	138	no	110	1000
17	15	960	predicted	138	no	110	1000
18	15	960	predicted	137	no	110	1000
19	15	960	predicted	134	no	110	1000
20	15	960	predicted	131	no	110	1000
21	15	960	predicted	129	no	110	1000
22	15	960	predicted	130	no	110	1000
23	15	960	predicted	131	no	110	1000
24	15	960	predicted	132	no	110	1000
25	15	960	predicted	131	no	110	1000
26	15	960	predicted	130	no	110	1000
27	15	960	predicted	131	no	110	1000
28	15	960	predicted	132	no	110	1000
29	15	960	predicted	131	no	110	1000
30	15	960	predicted	134	no	110	1000
31	15	960	predicted	132	no	110	1000
32	15	960	predicted	77	yes	110	1000
33	15	960	predicted	51	yes	110	1000
34	15	960	predicted	51	yes	110	1000
35	15	960	predicted	50	yes	110	1000
36	15	960	predicted	51	yes	110	1000
37	15	960	predicted	50	yes	110	1000
38	15	960	predicted	50	yes	110	1000
39	15	960	predicted	50	yes	110	1000
40	15	960	predicted	50	yes	110	1000
41	15	960	predicted	50	yes	110	1000
42	15	960	predicted	50	yes	110	1000
43	15	960	predicted	51	yes	110	1000
44	15	960	predicted	93	yes	110	1000
45	15	960	predicted	130	no	110	1000
46	15	960	predicted	131	no	110	1000
47	15	960	predicted	131	no	110	1000
48	15	960	predicted	133	no	110	1000
49	15	960	predicted	131	no	110	1000
50	15	960	predicted	132	no	110	1000
51	15	960	predicted	132	no	110	1000
52	15	960	predicted	134	no	110	1000
53	15	960	predicted	132	no	110	1000
54	15	960	predicted	133	no	110	1000
55	15	960	predicted	133	no	110	1000
56	15	960	predicted	131	no	110	1000
57	15	960	predicted	134	no	110	1000
58	15	960	predicted	132	no	110	1000
59	15	960	predicted	131	no	110	1000
60	15	960	predicted	132	no	110	1000
61	15	960	predicted	132	no	110	1000
62	15	960	predicted	132	no	110	1000
63	15	960	predicted	132	no	110	1000
64	15	960	predicted	133	no	110	1000
