# store-stride entry-capacity test
# stride=320 rounds=1000 page_size=4096 store_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=5 COMPETITOR_ACCESSES=6 max_competitors=512 page_step_pages=1
# victim training: 5 stores, stride_lines=5
# victim trigger line: 31
# victim probe/predicted line: 25
# competitor accesses per page: 6 stores, stride_lines=5
# lower latency means victim probe line was more likely prefetched
# FENCE_AFTER_EACH_STORE=0
# FLUSH_COMPETITORS_AFTER_TRAIN=0
# no_trigger_n0_latency_ns=195
n	latency_ns
0	114
1	104
2	109
3	111
4	115
5	112
6	113
7	114
8	115
9	116
10	115
11	77
12	86
13	86
14	85
15	84
16	84
17	85
18	86
19	85
20	83
21	87
22	85
23	87
24	87
25	88
26	108
27	86
28	91
29	89
30	91
31	89
32	92
33	89
34	92
35	93
36	93
37	92
38	91
39	94
40	95
41	95
42	94
43	97
44	96
45	97
46	92
47	96
48	97
49	94
50	95
51	92
52	97
53	95
54	94
55	95
56	96
57	96
58	95
59	97
60	96
61	96
62	94
63	97
64	96
65	116
66	94
67	94
68	96
69	98
70	96
71	98
72	97
73	96
74	94
75	96
76	99
77	97
78	96
79	96
80	97
81	99
82	99
83	97
84	98
85	98
86	97
87	97
88	99
89	95
90	98
91	98
92	100
93	99
94	99
95	99
96	98
97	99
98	100
99	98
100	100
101	98
102	100
103	100
104	99
105	100
106	99
107	97
108	101
109	99
110	99
111	102
112	100
113	99
114	97
115	100
116	102
117	99
118	99
119	98
120	99
121	99
122	98
123	99
124	99
125	97
126	100
127	97
128	99
129	99
130	98
131	100
132	100
133	99
134	101
135	99
136	99
137	100
138	101
139	102
140	99
141	98
142	100
143	99
144	101
145	98
146	98
147	100
148	98
149	98
150	103
151	98
152	99
153	101
154	99
155	100
156	101
157	101
158	99
159	99
160	100
161	100
162	98
163	103
164	99
165	101
166	99
167	100
168	98
169	101
170	102
171	100
172	101
173	101
174	99
175	102
176	100
177	101
178	101
179	100
180	101
181	100
182	103
183	102
184	97
185	101
186	103
187	102
188	102
189	100
190	102
191	101
192	101
193	98
194	101
195	98
196	100
197	99
198	103
199	101
200	102
201	100
202	100
203	101
204	100
205	103
206	99
207	101
208	99
209	102
210	101
211	102
212	101
213	102
214	101
215	101
216	99
217	101
218	100
219	104
220	102
221	117
222	102
223	102
224	102
225	103
226	101
227	100
228	103
229	103
230	103
231	104
232	101
233	104
234	123
235	103
236	102
237	102
238	102
239	103
240	101
241	102
242	100
243	102
244	106
245	101
246	107
247	101
248	103
249	100
250	101
251	101
252	104
253	102
254	103
255	104
256	104
257	105
258	104
259	102
260	104
261	100
262	102
263	105
264	104
265	103
266	105
267	106
268	99
269	105
270	102
271	105
272	105
273	104
274	108
275	106
276	125
277	105
278	104
279	105
280	104
281	103
282	104
283	107
284	107
285	105
286	104
287	113
288	136
289	118
290	105
291	106
292	108
293	104
294	107
295	120
296	105
297	105
298	106
299	108
300	106
301	111
302	106
303	108
304	109
305	110
306	105
307	107
308	106
309	105
310	108
311	103
312	107
313	108
314	110
315	108
316	107
317	112
318	104
319	105
320	106
321	106
322	104
323	106
324	107
325	110
326	107
327	108
328	106
329	108
330	107
331	107
332	106
333	106
334	107
335	106
336	107
337	106
338	104
339	106
340	105
341	111
342	111
343	109
344	106
345	106
346	110
347	108
348	111
349	107
350	110
351	107
352	109
353	111
354	110
355	110
356	108
357	109
358	108
359	111
360	111
361	107
362	109
363	109
364	110
365	112
366	110
367	110
368	112
369	109
370	113
371	113
372	113
373	112
374	112
375	114
376	112
377	129
378	113
379	120
380	120
381	115
382	119
383	125
384	119
385	126
386	119
387	118
388	118
389	120
390	117
391	118
392	117
393	119
394	122
395	122
396	125
397	123
398	123
399	128
400	129
401	125
402	129
403	127
404	127
405	127
406	132
407	127
408	130
409	132
410	131
411	131
412	130
413	134
414	129
415	135
416	140
417	135
418	140
419	139
420	137
421	140
422	140
423	133
424	140
425	140
426	138
427	139
428	137
429	138
430	138
431	136
432	141
433	135
434	133
435	135
436	135
437	132
438	137
439	137
440	140
441	137
442	145
443	141
444	156
445	138
446	138
447	142
448	138
449	162
450	147
451	137
452	142
453	162
454	144
455	137
456	141
457	139
458	141
459	142
460	141
461	146
462	146
463	142
464	145
465	142
466	170
467	162
468	143
469	141
470	144
471	153
472	157
473	152
474	150
475	167
476	176
477	162
478	147
479	155
480	155
481	150
482	146
483	154
484	147
485	147
486	151
487	146
488	151
489	151
490	150
491	145
492	152
493	145
494	146
495	152
496	149
497	152
498	156
499	158
500	156
501	153
502	153
503	154
504	152
505	155
506	151
507	156
508	157
509	158
510	161
511	160
512	161
