position	offset_bytes	role	avg_ns	probes
0	0	accessed	81	400
1	64	cache_miss	294	400
2	128	cache_miss	274	400
3	192	cache_miss	283	400
4	256	cache_miss	280	400
5	320	accessed	81	400
6	384	cache_miss	284	400
7	448	cache_miss	281	400
8	512	cache_miss	298	400
9	576	cache_miss	290	400
10	640	accessed	82	400
11	704	cache_miss	290	400
12	768	cache_miss	294	400
13	832	cache_miss	289	400
14	896	cache_miss	301	400
15	960	accessed	82	400
16	1024	cache_miss	297	400
17	1088	cache_miss	292	400
18	1152	cache_miss	292	400
19	1216	cache_miss	290	400
20	1280	accessed	81	400
21	1344	cache_miss	303	400
22	1408	cache_miss	291	400
23	1472	cache_miss	290	400
24	1536	cache_miss	291	400
25	1600	accessed	82	400
26	1664	cache_miss	292	400
27	1728	cache_miss	293	400
28	1792	cache_miss	293	400
29	1856	cache_miss	292	400
30	1920	cache_miss	289	400
31	1984	cache_miss	288	400
32	2048	cache_miss	286	400
33	2112	cache_miss	291	400
34	2176	cache_miss	286	400
35	2240	cache_miss	288	400
36	2304	cache_miss	294	400
37	2368	cache_miss	292	400
38	2432	cache_miss	288	400
39	2496	cache_miss	286	400
40	2560	cache_miss	285	400
41	2624	cache_miss	283	400
42	2688	cache_miss	293	400
43	2752	cache_miss	287	400
44	2816	cache_miss	292	400
45	2880	cache_miss	295	400
46	2944	cache_miss	295	400
47	3008	cache_miss	291	400
48	3072	cache_miss	286	400
49	3136	cache_miss	291	400
50	3200	cache_miss	301	400
51	3264	cache_miss	282	400
52	3328	cache_miss	284	400
53	3392	cache_miss	289	400
54	3456	cache_miss	294	400
55	3520	cache_miss	297	400
56	3584	cache_miss	288	400
57	3648	cache_miss	284	400
58	3712	cache_miss	283	400
59	3776	cache_miss	281	400
60	3840	cache_miss	283	400
61	3904	cache_miss	284	400
62	3968	cache_miss	287	400
63	4032	cache_miss	292	400
64	4096	cache_miss	290	400
65	4160	cache_miss	292	400
66	4224	cache_miss	288	400
67	4288	cache_miss	285	400
68	4352	cache_miss	290	400
69	4416	cache_miss	289	400
70	4480	cache_miss	282	400
71	4544	cache_miss	286	400
72	4608	cache_miss	296	400
73	4672	cache_miss	295	400
74	4736	cache_miss	289	400
75	4800	cache_miss	286	400
76	4864	cache_miss	293	400
77	4928	cache_miss	295	400
78	4992	cache_miss	293	400
79	5056	cache_miss	290	400
80	5120	cache_miss	309	400
81	5184	cache_miss	300	400
82	5248	cache_miss	295	400
83	5312	cache_miss	295	400
84	5376	cache_miss	306	400
85	5440	cache_miss	294	400
86	5504	cache_miss	295	400
87	5568	cache_miss	289	400
88	5632	cache_miss	303	400
89	5696	cache_miss	298	400
90	5760	cache_miss	293	400
91	5824	cache_miss	296	400
92	5888	cache_miss	292	400
93	5952	cache_miss	301	400
94	6016	cache_miss	301	400
95	6080	cache_miss	294	400
96	6144	cache_miss	300	400
97	6208	cache_miss	299	400
98	6272	cache_miss	291	400
99	6336	cache_miss	294	400
