stride_lines	stride_bytes	train_step	avg_ns
62	3968	17	201
62	3968	39	189
62	3968	5	208
62	3968	27	169
62	3968	35	185
62	3968	7	107
62	3968	13	221
62	3968	23	86
62	3968	31	86
62	3968	4	85
62	3968	22	87
62	3968	15	107
62	3968	11	107
62	3968	16	161
62	3968	20	178
62	3968	38	181
62	3968	33	168
62	3968	28	154
62	3968	19	85
62	3968	14	106
62	3968	30	86
62	3968	40	87
62	3968	12	142
62	3968	32	87
62	3968	1	85
62	3968	29	85
62	3968	21	86
62	3968	36	91
62	3968	8	86
62	3968	6	146
62	3968	3	218
62	3968	2	218
62	3968	9	172
62	3968	34	86
62	3968	37	90
62	3968	26	86
62	3968	25	86
62	3968	24	153
62	3968	10	238
62	3968	18	233
26	1664	17	82
26	1664	39	83
26	1664	5	85
26	1664	27	82
26	1664	35	84
26	1664	7	82
26	1664	13	84
26	1664	23	84
26	1664	31	81
26	1664	4	84
26	1664	22	82
26	1664	15	83
26	1664	11	82
26	1664	16	83
26	1664	20	88
26	1664	38	84
26	1664	33	84
26	1664	28	85
26	1664	19	82
26	1664	14	81
26	1664	30	86
26	1664	40	88
26	1664	12	85
26	1664	32	84
26	1664	1	221
26	1664	29	82
26	1664	21	82
26	1664	36	84
26	1664	8	84
26	1664	6	96
26	1664	3	217
26	1664	2	224
26	1664	9	82
26	1664	34	83
26	1664	37	83
26	1664	26	83
26	1664	25	83
26	1664	24	82
26	1664	10	84
26	1664	18	85
2	128	17	82
2	128	39	82
2	128	5	184
2	128	27	81
2	128	35	81
2	128	7	84
2	128	13	82
2	128	23	82
2	128	31	82
2	128	4	175
2	128	22	82
2	128	15	82
2	128	11	83
2	128	16	83
2	128	20	82
2	128	38	82
2	128	33	82
2	128	28	82
2	128	19	82
2	128	14	83
2	128	30	81
2	128	40	84
2	128	12	83
2	128	32	85
2	128	1	214
2	128	29	82
2	128	21	82
2	128	36	82
2	128	8	83
2	128	6	89
2	128	3	230
2	128	2	236
2	128	9	82
2	128	34	82
2	128	37	82
2	128	26	81
2	128	25	81
2	128	24	82
2	128	10	83
2	128	18	83
14	896	17	82
14	896	39	81
14	896	5	85
14	896	27	82
14	896	35	81
14	896	7	82
14	896	13	82
14	896	23	83
14	896	31	81
14	896	4	84
14	896	22	81
14	896	15	81
14	896	11	82
14	896	16	81
14	896	20	84
14	896	38	84
14	896	33	85
14	896	28	84
14	896	19	84
14	896	14	85
14	896	30	85
14	896	40	85
14	896	12	83
14	896	32	85
14	896	1	170
14	896	29	82
14	896	21	82
14	896	36	83
14	896	8	82
14	896	6	81
14	896	3	84
14	896	2	84
14	896	9	82
14	896	34	83
14	896	37	83
14	896	26	83
14	896	25	83
14	896	24	81
14	896	10	84
14	896	18	81
8	512	17	82
8	512	39	82
8	512	5	84
8	512	27	81
8	512	35	82
8	512	7	81
8	512	13	82
8	512	23	82
8	512	31	82
8	512	4	84
8	512	22	81
8	512	15	82
8	512	11	83
8	512	16	84
8	512	20	81
8	512	38	82
8	512	33	81
8	512	28	81
8	512	19	82
8	512	14	83
8	512	30	82
8	512	40	84
8	512	12	82
8	512	32	84
8	512	1	84
8	512	29	81
8	512	21	81
8	512	36	82
8	512	8	84
8	512	6	83
8	512	3	84
8	512	2	84
8	512	9	86
8	512	34	81
8	512	37	82
8	512	26	82
8	512	25	83
8	512	24	83
8	512	10	83
8	512	18	81
22	1408	17	82
22	1408	39	82
22	1408	5	200
22	1408	27	85
22	1408	35	84
22	1408	7	82
22	1408	13	82
22	1408	23	82
22	1408	31	82
22	1408	4	83
22	1408	22	83
22	1408	15	87
22	1408	11	82
22	1408	16	81
22	1408	20	81
22	1408	38	85
22	1408	33	81
22	1408	28	81
22	1408	19	82
22	1408	14	82
22	1408	30	87
22	1408	40	84
22	1408	12	88
22	1408	32	85
22	1408	1	253
22	1408	29	83
22	1408	21	84
22	1408	36	81
22	1408	8	82
22	1408	6	82
22	1408	3	87
22	1408	2	86
22	1408	9	85
22	1408	34	81
22	1408	37	82
22	1408	26	83
22	1408	25	83
22	1408	24	83
22	1408	10	81
22	1408	18	84
61	3904	17	215
61	3904	39	213
61	3904	5	199
61	3904	27	180
61	3904	35	205
61	3904	7	190
61	3904	13	206
61	3904	23	207
61	3904	31	213
61	3904	4	220
61	3904	22	193
61	3904	15	177
61	3904	11	194
61	3904	16	238
61	3904	20	207
61	3904	38	204
61	3904	33	173
61	3904	28	192
61	3904	19	211
61	3904	14	214
61	3904	30	189
61	3904	40	180
61	3904	12	154
61	3904	32	87
61	3904	1	84
61	3904	29	86
61	3904	21	86
61	3904	36	102
61	3904	8	182
61	3904	6	245
61	3904	3	240
61	3904	2	245
61	3904	9	179
61	3904	34	174
61	3904	37	198
61	3904	26	182
61	3904	25	223
61	3904	24	214
61	3904	10	216
61	3904	18	228
12	768	17	82
12	768	39	84
12	768	5	223
12	768	27	84
12	768	35	81
12	768	7	83
12	768	13	85
12	768	23	82
12	768	31	81
12	768	4	185
12	768	22	84
12	768	15	84
12	768	11	86
12	768	16	83
12	768	20	81
12	768	38	82
12	768	33	82
12	768	28	82
12	768	19	83
12	768	14	82
12	768	30	81
12	768	40	83
12	768	12	85
12	768	32	84
12	768	1	211
12	768	29	82
12	768	21	82
12	768	36	82
12	768	8	84
12	768	6	94
12	768	3	220
12	768	2	212
12	768	9	80
12	768	34	81
12	768	37	81
12	768	26	82
12	768	25	81
12	768	24	80
12	768	10	82
12	768	18	81
55	3520	17	251
55	3520	39	244
55	3520	5	207
