train_step	probe_pos	offset_bytes	role	avg_ns
1	0	0	accessed	175
1	1	320	candidate	291
1	2	640	candidate	274
1	3	960	candidate	255
1	4	1280	candidate	270
1	5	1600	candidate	242
1	6	1920	candidate	240
1	7	2240	candidate	245
1	8	2560	candidate	234
1	9	2880	candidate	233
1	10	3200	candidate	246
1	11	3520	candidate	249
1	12	3840	candidate	226
1	13	4160	candidate	232
1	14	4480	candidate	235
1	15	4800	candidate	225
1	16	5120	candidate	233
1	17	5440	candidate	236
1	18	5760	candidate	224
1	19	6080	candidate	229
1	20	6400	candidate	233
1	21	6720	candidate	227
1	22	7040	candidate	229
1	23	7360	candidate	239
1	24	7680	candidate	229
1	25	8000	candidate	229
1	26	8320	candidate	235
1	27	8640	candidate	242
1	28	8960	candidate	226
1	29	9280	candidate	238
1	30	9600	candidate	243
1	31	9920	candidate	223
1	32	10240	candidate	239
1	33	10560	candidate	240
1	34	10880	candidate	228
1	35	11200	candidate	227
1	36	11520	candidate	228
1	37	11840	candidate	224
1	38	12160	candidate	222
1	39	12480	candidate	236
2	0	0	accessed	83
2	1	320	accessed	87
2	2	640	candidate	222
2	3	960	candidate	223
2	4	1280	candidate	238
2	5	1600	candidate	219
2	6	1920	candidate	226
2	7	2240	candidate	229
2	8	2560	candidate	225
2	9	2880	candidate	225
2	10	3200	candidate	233
2	11	3520	candidate	234
2	12	3840	candidate	224
2	13	4160	candidate	236
2	14	4480	candidate	242
2	15	4800	candidate	224
2	16	5120	candidate	231
2	17	5440	candidate	236
2	18	5760	candidate	225
2	19	6080	candidate	223
2	20	6400	candidate	236
2	21	6720	candidate	226
2	22	7040	candidate	225
2	23	7360	candidate	233
2	24	7680	candidate	221
2	25	8000	candidate	228
2	26	8320	candidate	238
2	27	8640	candidate	239
2	28	8960	candidate	226
2	29	9280	candidate	240
2	30	9600	candidate	240
2	31	9920	candidate	226
2	32	10240	candidate	236
2	33	10560	candidate	236
2	34	10880	candidate	227
2	35	11200	candidate	228
2	36	11520	candidate	240
2	37	11840	candidate	226
2	38	12160	candidate	228
2	39	12480	candidate	237
3	0	0	accessed	82
3	1	320	accessed	85
3	2	640	accessed	86
3	3	960	candidate	92
3	4	1280	candidate	91
3	5	1600	candidate	86
3	6	1920	candidate	223
3	7	2240	candidate	229
3	8	2560	candidate	226
3	9	2880	candidate	226
3	10	3200	candidate	233
3	11	3520	candidate	240
3	12	3840	candidate	223
3	13	4160	candidate	230
3	14	4480	candidate	239
3	15	4800	candidate	231
3	16	5120	candidate	235
3	17	5440	candidate	237
3	18	5760	candidate	229
3	19	6080	candidate	226
3	20	6400	candidate	239
3	21	6720	candidate	225
3	22	7040	candidate	229
3	23	7360	candidate	233
3	24	7680	candidate	227
3	25	8000	candidate	232
3	26	8320	candidate	235
3	27	8640	candidate	237
3	28	8960	candidate	230
3	29	9280	candidate	236
3	30	9600	candidate	244
3	31	9920	candidate	230
3	32	10240	candidate	240
3	33	10560	candidate	236
3	34	10880	candidate	231
3	35	11200	candidate	228
3	36	11520	candidate	237
3	37	11840	candidate	223
3	38	12160	candidate	227
3	39	12480	candidate	234
4	0	0	accessed	83
4	1	320	accessed	85
