position	offset_bytes	role	avg_ns	probes
0	0	accessed	92	20
1	64	cache_miss	246	20
2	128	cache_miss	253	20
3	192	cache_miss	242	20
4	256	cache_miss	253	20
5	320	cache_miss	265	20
6	384	cache_miss	284	20
7	448	cache_miss	269	20
8	512	cache_miss	238	20
9	576	cache_miss	265	20
10	640	cache_miss	250	20
11	704	accessed	99	20
12	768	cache_miss	234	20
13	832	cache_miss	242	20
14	896	cache_miss	261	20
15	960	cache_miss	253	20
16	1024	cache_miss	265	20
17	1088	cache_miss	269	20
18	1152	cache_miss	265	20
19	1216	cache_miss	261	20
20	1280	cache_miss	269	20
21	1344	cache_miss	257	20
22	1408	accessed	115	20
23	1472	cache_miss	261	20
24	1536	cache_miss	249	20
25	1600	cache_miss	246	20
26	1664	cache_miss	253	20
27	1728	cache_miss	242	20
28	1792	cache_miss	246	20
29	1856	cache_miss	261	20
30	1920	cache_miss	253	20
31	1984	cache_miss	246	20
32	2048	cache_miss	261	20
33	2112	accessed	103	20
34	2176	cache_miss	250	20
35	2240	cache_miss	257	20
36	2304	cache_miss	253	20
37	2368	cache_miss	257	20
38	2432	cache_miss	280	20
39	2496	cache_miss	276	20
40	2560	cache_miss	250	20
41	2624	cache_miss	253	20
42	2688	cache_miss	246	20
43	2752	cache_miss	238	20
44	2816	accessed	103	20
45	2880	cache_miss	249	20
46	2944	cache_miss	249	20
47	3008	cache_miss	250	20
48	3072	cache_miss	269	20
49	3136	cache_miss	269	20
50	3200	cache_miss	265	20
51	3264	cache_miss	261	20
52	3328	cache_miss	257	20
53	3392	cache_miss	253	20
54	3456	cache_miss	261	20
55	3520	accessed	100	20
56	3584	cache_miss	254	20
57	3648	cache_miss	253	20
58	3712	cache_miss	257	20
59	3776	cache_miss	246	20
60	3840	cache_miss	234	20
61	3904	cache_miss	242	20
62	3968	cache_miss	246	20
63	4032	cache_miss	238	20
64	4096	cache_miss	265	20
65	4160	cache_miss	257	20
66	4224	accessed	99	20
67	4288	cache_miss	265	20
68	4352	cache_miss	269	20
69	4416	cache_miss	257	20
70	4480	cache_miss	249	20
71	4544	cache_miss	265	20
72	4608	cache_miss	246	20
73	4672	cache_miss	238	20
74	4736	cache_miss	242	20
75	4800	cache_miss	253	20
76	4864	cache_miss	249	20
77	4928	accessed	99	20
78	4992	cache_miss	238	20
79	5056	cache_miss	234	20
80	5120	cache_miss	257	20
81	5184	cache_miss	261	20
82	5248	cache_miss	280	20
83	5312	cache_miss	246	20
84	5376	cache_miss	257	20
85	5440	cache_miss	261	20
86	5504	cache_miss	265	20
87	5568	cache_miss	269	20
88	5632	accessed	95	20
89	5696	cache_miss	246	20
90	5760	cache_miss	238	20
91	5824	cache_miss	234	20
92	5888	cache_miss	234	20
93	5952	cache_miss	253	20
94	6016	cache_miss	242	20
95	6080	cache_miss	242	20
96	6144	cache_miss	272	20
97	6208	cache_miss	257	20
98	6272	cache_miss	265	20
99	6336	accessed	96	20
100	6400	cache_miss	273	20
101	6464	cache_miss	272	20
102	6528	cache_miss	257	20
103	6592	cache_miss	265	20
104	6656	cache_miss	249	20
105	6720	cache_miss	242	20
106	6784	cache_miss	246	20
107	6848	cache_miss	249	20
108	6912	cache_miss	246	20
109	6976	cache_miss	257	20
110	7040	accessed	100	20
111	7104	cache_miss	249	20
112	7168	cache_miss	257	20
113	7232	cache_miss	261	20
114	7296	cache_miss	265	20
115	7360	cache_miss	246	20
116	7424	cache_miss	257	20
117	7488	cache_miss	261	20
118	7552	cache_miss	253	20
119	7616	cache_miss	261	20
120	7680	cache_miss	242	20
121	7744	accessed	96	20
122	7808	cache_miss	254	20
123	7872	cache_miss	246	20
124	7936	cache_miss	234	20
125	8000	cache_miss	238	20
126	8064	cache_miss	253	20
127	8128	cache_miss	261	20
128	8192	cache_miss	261	20
129	8256	cache_miss	261	20
130	8320	cache_miss	246	20
131	8384	cache_miss	253	20
132	8448	accessed	84	20
133	8512	cache_miss	261	20
134	8576	cache_miss	261	20
135	8640	cache_miss	254	20
136	8704	cache_miss	242	20
137	8768	cache_miss	242	20
138	8832	cache_miss	253	20
139	8896	cache_miss	249	20
140	8960	cache_miss	246	20
141	9024	cache_miss	246	20
142	9088	cache_miss	253	20
143	9152	accessed	88	20
144	9216	cache_miss	276	20
145	9280	cache_miss	249	20
146	9344	cache_miss	272	20
147	9408	cache_miss	253	20
148	9472	cache_miss	273	20
149	9536	cache_miss	265	20
150	9600	cache_miss	253	20
151	9664	cache_miss	261	20
152	9728	cache_miss	249	20
