stride_lines	stride_bytes	train_step	avg_ns
1	64	0	403
1	64	1	380
1	64	2	362
1	64	3	306
1	64	4	301
1	64	5	282
1	64	6	180
1	64	7	158
1	64	8	192
1	64	9	250
1	64	10	113
1	64	11	108
1	64	12	159
1	64	13	97
1	64	14	103
1	64	15	106
1	64	16	191
1	64	17	91
1	64	18	86
1	64	19	141
1	64	20	93
1	64	21	96
1	64	22	96
1	64	23	90
1	64	24	92
1	64	25	90
1	64	26	126
1	64	27	183
1	64	28	100
1	64	29	125
1	64	30	95
1	64	31	94
1	64	32	127
1	64	33	103
1	64	34	134
1	64	35	102
1	64	36	89
1	64	37	193
1	64	38	121
1	64	39	187
2	128	0	240
2	128	1	234
2	128	2	243
2	128	3	238
2	128	4	232
2	128	5	233
2	128	6	233
2	128	7	144
2	128	8	92
2	128	9	90
2	128	10	90
2	128	11	119
2	128	12	103
2	128	13	235
2	128	14	124
2	128	15	84
2	128	16	188
2	128	17	216
2	128	18	180
2	128	19	96
2	128	20	90
2	128	21	162
2	128	22	137
2	128	23	92
2	128	24	93
2	128	25	92
2	128	26	89
2	128	27	91
2	128	28	93
2	128	29	93
2	128	30	90
2	128	31	90
2	128	32	196
2	128	33	92
2	128	34	112
2	128	35	101
2	128	36	136
2	128	37	190
2	128	38	203
2	128	39	119
3	192	0	237
3	192	1	237
3	192	2	243
3	192	3	229
3	192	4	230
3	192	5	115
3	192	6	235
3	192	7	130
3	192	8	232
3	192	9	231
3	192	10	232
3	192	11	236
3	192	12	191
3	192	13	246
3	192	14	191
3	192	15	92
3	192	16	92
3	192	17	86
3	192	18	244
3	192	19	93
3	192	20	236
3	192	21	90
3	192	22	94
3	192	23	106
3	192	24	88
3	192	25	88
3	192	26	136
3	192	27	100
3	192	28	94
3	192	29	116
3	192	30	90
3	192	31	94
3	192	32	90
3	192	33	147
3	192	34	182
3	192	35	215
3	192	36	217
3	192	37	200
3	192	38	200
3	192	39	187
4	256	0	237
4	256	1	237
4	256	2	232
4	256	3	230
4	256	4	242
4	256	5	233
4	256	6	229
