stride_lines	stride_bytes	train_step	avg_ns
1	64	0	337
1	64	1	181
1	64	2	49
1	64	3	48
1	64	4	49
1	64	5	49
1	64	6	49
1	64	7	48
1	64	8	49
1	64	9	48
1	64	10	48
1	64	11	48
1	64	12	49
1	64	13	50
1	64	14	49
1	64	15	50
1	64	16	49
1	64	17	50
1	64	18	48
1	64	19	49
1	64	20	49
1	64	21	49
1	64	22	48
1	64	23	48
1	64	24	48
1	64	25	49
1	64	26	49
1	64	27	50
1	64	28	48
1	64	29	52
1	64	30	48
1	64	31	48
1	64	32	48
1	64	33	49
1	64	34	49
1	64	35	48
1	64	36	49
1	64	37	49
1	64	38	48
1	64	39	48
2	128	0	283
2	128	1	192
2	128	2	152
2	128	3	48
2	128	4	49
2	128	5	48
2	128	6	49
2	128	7	49
2	128	8	49
2	128	9	49
2	128	10	49
2	128	11	49
2	128	12	49
2	128	13	49
2	128	14	48
2	128	15	49
2	128	16	48
2	128	17	48
2	128	18	49
2	128	19	49
2	128	20	48
2	128	21	49
2	128	22	48
2	128	23	49
2	128	24	48
2	128	25	49
2	128	26	48
2	128	27	49
2	128	28	49
2	128	29	49
2	128	30	48
2	128	31	49
2	128	32	175
2	128	33	73
2	128	34	49
2	128	35	71
2	128	36	48
2	128	37	50
2	128	38	49
2	128	39	49
3	192	0	282
3	192	1	182
3	192	2	148
3	192	3	48
3	192	4	48
3	192	5	48
3	192	6	49
3	192	7	49
3	192	8	49
3	192	9	49
3	192	10	49
3	192	11	48
3	192	12	49
3	192	13	48
3	192	14	49
3	192	15	50
3	192	16	49
3	192	17	49
3	192	18	48
3	192	19	48
3	192	20	48
3	192	21	49
3	192	22	134
3	192	23	111
3	192	24	105
3	192	25	100
3	192	26	49
3	192	27	48
3	192	28	48
3	192	29	49
3	192	30	49
3	192	31	49
3	192	32	48
3	192	33	48
3	192	34	49
3	192	35	48
3	192	36	48
3	192	37	49
3	192	38	48
3	192	39	48
4	256	0	219
4	256	1	144
4	256	2	187
4	256	3	49
4	256	4	48
4	256	5	49
4	256	6	49
4	256	7	48
4	256	8	48
4	256	9	49
4	256	10	49
4	256	11	50
4	256	12	48
4	256	13	48
4	256	14	49
4	256	15	48
4	256	16	128
4	256	17	96
4	256	18	65
4	256	19	49
4	256	20	49
4	256	21	48
4	256	22	47
4	256	23	48
4	256	24	47
4	256	25	47
4	256	26	47
4	256	27	49
4	256	28	48
4	256	29	48
4	256	30	46
4	256	31	48
4	256	32	164
4	256	33	108
4	256	34	167
4	256	35	48
4	256	36	48
4	256	37	48
4	256	38	48
4	256	39	48
5	320	0	141
5	320	1	127
5	320	2	130
5	320	3	49
5	320	4	50
5	320	5	48
5	320	6	49
5	320	7	49
5	320	8	49
5	320	9	70
5	320	10	48
5	320	11	48
5	320	12	48
5	320	13	132
5	320	14	55
5	320	15	48
5	320	16	48
5	320	17	49
5	320	18	49
5	320	19	49
5	320	20	50
5	320	21	48
5	320	22	49
5	320	23	49
5	320	24	48
5	320	25	48
5	320	26	174
5	320	27	66
5	320	28	67
5	320	29	48
5	320	30	47
5	320	31	50
5	320	32	48
5	320	33	48
5	320	34	48
5	320	35	47
5	320	36	49
5	320	37	48
5	320	38	47
5	320	39	155
6	384	0	310
6	384	1	232
6	384	2	171
6	384	3	49
6	384	4	49
6	384	5	48
6	384	6	49
6	384	7	54
6	384	8	49
6	384	9	49
6	384	10	48
6	384	11	212
6	384	12	48
6	384	13	54
6	384	14	56
6	384	15	49
6	384	16	49
6	384	17	48
6	384	18	48
6	384	19	48
6	384	20	49
6	384	21	48
6	384	22	138
6	384	23	89
6	384	24	49
6	384	25	50
6	384	26	48
6	384	27	48
6	384	28	48
6	384	29	48
6	384	30	49
6	384	31	49
6	384	32	174
6	384	33	49
6	384	34	62
6	384	35	48
6	384	36	47
6	384	37	48
6	384	38	48
6	384	39	48
7	448	0	274
7	448	1	166
7	448	2	161
7	448	3	48
7	448	4	47
7	448	5	46
7	448	6	47
7	448	7	47
7	448	8	51
7	448	9	48
7	448	10	164
7	448	11	48
7	448	12	48
7	448	13	61
7	448	14	48
7	448	15	47
7	448	16	47
7	448	17	48
7	448	18	49
7	448	19	187
7	448	20	50
7	448	21	49
7	448	22	48
7	448	23	48
7	448	24	48
7	448	25	49
7	448	26	48
7	448	27	47
7	448	28	189
7	448	29	117
7	448	30	48
7	448	31	79
7	448	32	47
7	448	33	47
7	448	34	47
7	448	35	48
7	448	36	48
7	448	37	158
7	448	38	103
7	448	39	63
8	512	0	280
8	512	1	209
8	512	2	193
8	512	3	48
8	512	4	48
8	512	5	48
8	512	6	48
8	512	7	49
8	512	8	168
8	512	9	51
8	512	10	54
8	512	11	47
8	512	12	48
8	512	13	48
8	512	14	48
8	512	15	48
8	512	16	172
8	512	17	181
8	512	18	47
8	512	19	47
8	512	20	49
8	512	21	47
8	512	22	47
8	512	23	49
8	512	24	147
8	512	25	48
8	512	26	48
8	512	27	47
8	512	28	48
8	512	29	47
8	512	30	47
8	512	31	47
8	512	32	169
8	512	33	52
8	512	34	61
8	512	35	50
8	512	36	47
8	512	37	47
8	512	38	47
8	512	39	46
9	576	0	285
9	576	1	229
9	576	2	156
9	576	3	48
9	576	4	46
9	576	5	47
9	576	6	48
9	576	7	49
9	576	8	144
9	576	9	52
9	576	10	54
9	576	11	58
9	576	12	47
9	576	13	50
9	576	14	47
9	576	15	145
9	576	16	139
9	576	17	50
9	576	18	49
9	576	19	47
9	576	20	48
9	576	21	48
9	576	22	137
9	576	23	97
9	576	24	47
9	576	25	47
9	576	26	48
9	576	27	47
9	576	28	47
9	576	29	186
9	576	30	64
9	576	31	68
9	576	32	52
9	576	33	47
9	576	34	55
9	576	35	47
9	576	36	162
9	576	37	48
9	576	38	76
9	576	39	49
10	640	0	268
10	640	1	175
10	640	2	192
10	640	3	47
10	640	4	48
10	640	5	47
10	640	6	48
10	640	7	159
10	640	8	49
10	640	9	49
10	640	10	48
10	640	11	48
10	640	12	48
10	640	13	208
10	640	14	51
10	640	15	50
10	640	16	46
10	640	17	48
10	640	18	48
10	640	19	66
10	640	20	158
10	640	21	47
10	640	22	91
10	640	23	103
10	640	24	48
10	640	25	47
10	640	26	184
10	640	27	60
10	640	28	52
10	640	29	53
10	640	30	50
10	640	31	51
10	640	32	197
10	640	33	74
10	640	34	47
10	640	35	108
10	640	36	48
10	640	37	48
10	640	38	49
10	640	39	201
11	704	0	310
11	704	1	165
11	704	2	206
11	704	3	48
11	704	4	47
11	704	5	58
11	704	6	135
11	704	7	49
11	704	8	47
11	704	9	49
11	704	10	48
11	704	11	49
11	704	12	180
11	704	13	55
11	704	14	64
11	704	15	49
11	704	16	48
11	704	17	47
11	704	18	134
11	704	19	45
11	704	20	58
11	704	21	79
11	704	22	49
11	704	23	46
11	704	24	125
11	704	25	102
11	704	26	46
11	704	27	53
11	704	28	45
11	704	29	46
11	704	30	144
11	704	31	49
11	704	32	46
11	704	33	46
11	704	34	45
11	704	35	162
11	704	36	45
11	704	37	46
11	704	38	50
11	704	39	46
12	768	0	264
12	768	1	186
12	768	2	175
12	768	3	48
12	768	4	48
12	768	5	48
12	768	6	188
12	768	7	47
12	768	8	49
12	768	9	58
12	768	10	47
12	768	11	151
12	768	12	156
12	768	13	58
12	768	14	48
12	768	15	46
12	768	16	202
12	768	17	48
12	768	18	101
12	768	19	54
12	768	20	47
12	768	21	47
12	768	22	140
12	768	23	46
12	768	24	47
12	768	25	63
12	768	26	48
12	768	27	184
12	768	28	49
12	768	29	47
12	768	30	51
12	768	31	47
12	768	32	149
12	768	33	81
12	768	34	47
12	768	35	48
12	768	36	49
12	768	37	47
12	768	38	174
12	768	39	48
13	832	0	282
13	832	1	218
13	832	2	234
13	832	3	48
13	832	4	53
13	832	5	210
13	832	6	50
13	832	7	50
13	832	8	48
13	832	9	49
13	832	10	181
13	832	11	48
13	832	12	51
13	832	13	92
13	832	14	48
13	832	15	199
13	832	16	48
13	832	17	48
13	832	18	59
13	832	19	48
13	832	20	189
13	832	21	46
13	832	22	47
13	832	23	99
13	832	24	48
13	832	25	187
13	832	26	98
13	832	27	87
13	832	28	84
13	832	29	60
13	832	30	200
13	832	31	90
13	832	32	102
13	832	33	48
13	832	34	48
13	832	35	177
13	832	36	56
13	832	37	51
13	832	38	48
13	832	39	48
14	896	0	251
14	896	1	204
14	896	2	146
14	896	3	48
14	896	4	64
14	896	5	137
14	896	6	52
14	896	7	49
14	896	8	48
14	896	9	48
14	896	10	171
14	896	11	48
14	896	12	48
14	896	13	53
14	896	14	184
14	896	15	47
14	896	16	50
14	896	17	109
14	896	18	48
14	896	19	176
14	896	20	48
14	896	21	61
14	896	22	48
14	896	23	167
14	896	24	83
14	896	25	53
14	896	26	48
14	896	27	49
14	896	28	186
14	896	29	129
14	896	30	50
14	896	31	48
14	896	32	179
14	896	33	54
14	896	34	48
14	896	35	49
14	896	36	47
14	896	37	182
14	896	38	47
14	896	39	52
15	960	0	259
15	960	1	212
15	960	2	181
15	960	3	54
15	960	4	48
15	960	5	188
15	960	6	50
15	960	7	47
15	960	8	48
15	960	9	192
15	960	10	48
15	960	11	48
15	960	12	49
15	960	13	151
15	960	14	48
15	960	15	50
15	960	16	60
15	960	17	48
15	960	18	185
15	960	19	47
15	960	20	68
15	960	21	52
15	960	22	134
15	960	23	53
15	960	24	48
15	960	25	47
15	960	26	140
15	960	27	50
15	960	28	52
15	960	29	47
15	960	30	162
15	960	31	46
15	960	32	55
15	960	33	48
15	960	34	50
15	960	35	167
15	960	36	51
15	960	37	77
15	960	38	52
15	960	39	154
16	1024	0	208
16	1024	1	184
16	1024	2	178
16	1024	3	47
16	1024	4	164
16	1024	5	48
16	1024	6	48
16	1024	7	48
16	1024	8	165
16	1024	9	177
16	1024	10	46
16	1024	11	47
16	1024	12	135
16	1024	13	52
16	1024	14	49
16	1024	15	50
16	1024	16	167
16	1024	17	54
16	1024	18	47
16	1024	19	48
16	1024	20	178
16	1024	21	48
16	1024	22	47
16	1024	23	47
16	1024	24	156
16	1024	25	47
16	1024	26	47
16	1024	27	49
16	1024	28	160
16	1024	29	47
16	1024	30	47
16	1024	31	48
16	1024	32	182
16	1024	33	55
16	1024	34	47
16	1024	35	48
16	1024	36	178
16	1024	37	78
16	1024	38	44
16	1024	39	51
17	1088	0	325
17	1088	1	204
17	1088	2	228
17	1088	3	48
17	1088	4	216
17	1088	5	49
17	1088	6	50
17	1088	7	48
17	1088	8	208
17	1088	9	50
17	1088	10	51
17	1088	11	48
17	1088	12	179
17	1088	13	95
17	1088	14	53
17	1088	15	51
17	1088	16	138
17	1088	17	47
17	1088	18	72
17	1088	19	206
17	1088	20	48
17	1088	21	49
17	1088	22	99
17	1088	23	196
17	1088	24	48
17	1088	25	53
17	1088	26	65
17	1088	27	210
17	1088	28	51
17	1088	29	49
17	1088	30	49
17	1088	31	166
17	1088	32	47
17	1088	33	67
17	1088	34	200
17	1088	35	49
17	1088	36	66
17	1088	37	47
17	1088	38	166
17	1088	39	57
18	1152	0	349
18	1152	1	215
18	1152	2	213
18	1152	3	48
18	1152	4	182
18	1152	5	58
18	1152	6	48
18	1152	7	59
18	1152	8	145
18	1152	9	52
18	1152	10	53
18	1152	11	195
18	1152	12	49
18	1152	13	52
18	1152	14	54
18	1152	15	164
18	1152	16	48
18	1152	17	139
18	1152	18	147
18	1152	19	75
18	1152	20	52
18	1152	21	64
18	1152	22	195
18	1152	23	48
18	1152	24	125
18	1152	25	143
18	1152	26	48
18	1152	27	48
18	1152	28	48
18	1152	29	170
18	1152	30	47
18	1152	31	48
18	1152	32	158
18	1152	33	46
18	1152	34	65
18	1152	35	66
18	1152	36	167
18	1152	37	51
18	1152	38	50
18	1152	39	48
19	1216	0	258
19	1216	1	218
19	1216	2	211
19	1216	3	49
19	1216	4	210
19	1216	5	56
19	1216	6	49
19	1216	7	183
19	1216	8	50
19	1216	9	49
19	1216	10	48
19	1216	11	205
19	1216	12	48
19	1216	13	49
19	1216	14	203
19	1216	15	50
19	1216	16	94
19	1216	17	148
19	1216	18	48
19	1216	19	59
19	1216	20	69
19	1216	21	210
19	1216	22	49
19	1216	23	49
19	1216	24	177
19	1216	25	49
19	1216	26	48
19	1216	27	185
19	1216	28	48
19	1216	29	49
19	1216	30	48
19	1216	31	192
19	1216	32	49
19	1216	33	93
19	1216	34	137
19	1216	35	50
19	1216	36	49
19	1216	37	49
19	1216	38	191
19	1216	39	88
20	1280	0	271
20	1280	1	208
20	1280	2	230
20	1280	3	48
20	1280	4	179
20	1280	5	48
20	1280	6	48
20	1280	7	148
20	1280	8	52
20	1280	9	56
