position	offset_bytes	role	avg_ns	probes
0	0	accessed	115	200
1	64	cache_miss	419	200
2	128	cache_miss	445	200
3	192	cache_miss	449	200
4	256	cache_miss	445	200
5	320	cache_miss	450	200
6	384	cache_miss	437	200
7	448	cache_miss	448	200
8	512	cache_miss	431	200
9	576	cache_miss	445	200
10	640	cache_miss	430	200
11	704	accessed	414	200
12	768	cache_miss	415	200
13	832	cache_miss	432	200
14	896	cache_miss	440	200
15	960	cache_miss	429	200
16	1024	cache_miss	443	200
17	1088	cache_miss	440	200
18	1152	cache_miss	439	200
19	1216	cache_miss	429	200
20	1280	cache_miss	430	200
21	1344	cache_miss	428	200
22	1408	accessed	345	200
23	1472	cache_miss	447	200
24	1536	cache_miss	436	200
25	1600	cache_miss	432	200
26	1664	cache_miss	423	200
27	1728	cache_miss	417	200
28	1792	cache_miss	414	200
29	1856	cache_miss	417	200
30	1920	cache_miss	429	200
31	1984	cache_miss	425	200
32	2048	cache_miss	426	200
33	2112	accessed	279	200
34	2176	cache_miss	408	200
35	2240	cache_miss	424	200
36	2304	cache_miss	423	200
37	2368	cache_miss	422	200
38	2432	cache_miss	421	200
39	2496	cache_miss	444	200
40	2560	cache_miss	449	200
41	2624	cache_miss	434	200
42	2688	cache_miss	434	200
43	2752	cache_miss	462	200
44	2816	accessed	264	200
45	2880	cache_miss	442	200
46	2944	cache_miss	437	200
47	3008	cache_miss	446	200
48	3072	cache_miss	430	200
49	3136	cache_miss	438	200
50	3200	cache_miss	462	200
51	3264	cache_miss	475	200
52	3328	cache_miss	445	200
53	3392	cache_miss	448	200
54	3456	cache_miss	460	200
55	3520	accessed	293	200
56	3584	cache_miss	442	200
57	3648	cache_miss	453	200
58	3712	cache_miss	465	200
59	3776	cache_miss	448	200
60	3840	cache_miss	435	200
61	3904	cache_miss	443	200
62	3968	cache_miss	468	200
63	4032	cache_miss	451	200
64	4096	cache_miss	460	200
65	4160	cache_miss	445	200
66	4224	accessed	310	200
67	4288	cache_miss	430	200
68	4352	cache_miss	449	200
69	4416	cache_miss	447	200
70	4480	cache_miss	440	200
71	4544	cache_miss	418	200
72	4608	cache_miss	432	200
73	4672	cache_miss	444	200
74	4736	cache_miss	436	200
75	4800	cache_miss	428	200
76	4864	cache_miss	420	200
77	4928	accessed	303	200
78	4992	cache_miss	435	200
79	5056	cache_miss	435	200
80	5120	cache_miss	429	200
81	5184	cache_miss	430	200
82	5248	cache_miss	415	200
83	5312	cache_miss	425	200
84	5376	cache_miss	437	200
85	5440	cache_miss	423	200
86	5504	cache_miss	413	200
87	5568	cache_miss	435	200
88	5632	accessed	310	200
89	5696	cache_miss	442	200
90	5760	cache_miss	435	200
91	5824	cache_miss	424	200
92	5888	cache_miss	412	200
93	5952	cache_miss	397	200
94	6016	cache_miss	410	200
95	6080	cache_miss	417	200
96	6144	cache_miss	434	200
97	6208	cache_miss	416	200
98	6272	cache_miss	419	200
99	6336	accessed	180	200
100	6400	cache_miss	444	200
101	6464	cache_miss	402	200
102	6528	cache_miss	406	200
103	6592	cache_miss	416	200
104	6656	cache_miss	398	200
105	6720	cache_miss	420	200
106	6784	cache_miss	418	200
107	6848	cache_miss	410	200
108	6912	cache_miss	407	200
109	6976	cache_miss	402	200
110	7040	accessed	149	200
111	7104	cache_miss	419	200
112	7168	cache_miss	409	200
113	7232	cache_miss	427	200
114	7296	cache_miss	418	200
115	7360	cache_miss	413	200
116	7424	cache_miss	404	200
117	7488	cache_miss	410	200
118	7552	cache_miss	405	200
119	7616	cache_miss	406	200
120	7680	cache_miss	409	200
121	7744	accessed	180	200
122	7808	cache_miss	424	200
123	7872	cache_miss	427	200
124	7936	cache_miss	416	200
125	8000	cache_miss	417	200
126	8064	cache_miss	408	200
127	8128	cache_miss	387	200
128	8192	cache_miss	419	200
129	8256	cache_miss	419	200
130	8320	cache_miss	417	200
131	8384	cache_miss	413	200
132	8448	accessed	160	200
133	8512	cache_miss	444	200
134	8576	cache_miss	429	200
135	8640	cache_miss	431	200
136	8704	cache_miss	613	200
137	8768	cache_miss	437	200
138	8832	cache_miss	436	200
139	8896	cache_miss	431	200
140	8960	cache_miss	445	200
141	9024	cache_miss	438	200
142	9088	cache_miss	436	200
143	9152	accessed	250	200
144	9216	cache_miss	433	200
145	9280	cache_miss	434	200
146	9344	cache_miss	425	200
147	9408	cache_miss	433	200
148	9472	cache_miss	432	200
149	9536	cache_miss	438	200
150	9600	cache_miss	443	200
151	9664	cache_miss	441	200
152	9728	cache_miss	444	200
153	9792	cache_miss	422	200
154	9856	accessed	303	200
155	9920	cache_miss	419	200
156	9984	cache_miss	431	200
157	10048	cache_miss	436	200
158	10112	cache_miss	429	200
159	10176	cache_miss	425	200
160	10240	cache_miss	423	200
161	10304	cache_miss	432	200
162	10368	cache_miss	408	200
163	10432	cache_miss	418	200
164	10496	cache_miss	417	200
165	10560	cache_miss	405	200
166	10624	cache_miss	431	200
167	10688	cache_miss	432	200
168	10752	cache_miss	433	200
169	10816	cache_miss	415	200
170	10880	cache_miss	419	200
171	10944	cache_miss	421	200
172	11008	cache_miss	424	200
173	11072	cache_miss	431	200
174	11136	cache_miss	423	200
175	11200	cache_miss	433	200
176	11264	cache_miss	404	200
177	11328	cache_miss	417	200
178	11392	cache_miss	421	200
179	11456	cache_miss	421	200
180	11520	cache_miss	425	200
181	11584	cache_miss	434	200
182	11648	cache_miss	447	200
183	11712	cache_miss	428	200
184	11776	cache_miss	430	200
185	11840	cache_miss	428	200
186	11904	cache_miss	425	200
187	11968	cache_miss	426	200
188	12032	cache_miss	429	200
189	12096	cache_miss	438	200
190	12160	cache_miss	432	200
191	12224	cache_miss	427	200
192	12288	cache_miss	420	200
193	12352	cache_miss	422	200
194	12416	cache_miss	409	200
195	12480	cache_miss	413	200
196	12544	cache_miss	402	200
197	12608	cache_miss	393	200
198	12672	cache_miss	406	200
199	12736	cache_miss	423	200
